ID,Start,End
Q96L73,207,252
Q96L73,281,311
Q96L73,487,514
Q96L73,872,891
Q96L73,936,1035
Q96L73,1067,1093
Q96L73,1112,1134
Q96L73,1243,1272
Q96L73,1294,1344
Q96L73,1382,1428
Q96L73,1480,1534
Q96L73,2091,2111
Q96L73,2213,2422
Q96L73,2464,2499
Q96L73,2553,2575
Q96L73,2595,2616
Q96L73,2665,2696
Q99453,162,246
Q99453,259,289
Q99502,1,95
Q99502,240,320
Q99715,799,830
Q99715,1077,1099
Q99715,2283,2312
Q99715,2743,2896
Q99715,2932,3063
Q99728,1,32
Q99728,167,211
Q99728,356,404
Q9C0K0,370,428
Q9C0K0,471,583
Q9C0K0,653,680
Q9C0K0,737,794
Q9GZT5,300,331
Q9H3D4,123,171
Q9H3D4,351,393
Q9H3D4,435,472
Q9H3T3,651,679
Q9H3T3,695,742
Q9H3T3,757,888
Q9H8M5,121,151
Q9H8M5,742,763
Q9NY46,28,60
Q9NY46,493,528
Q9NY46,587,631
Q9NY46,662,681
Q9NY46,1118,1162
Q9NY46,1949,2000
Q9UHF7,1,198
Q9UHF7,365,394
Q9UHF7,483,512
Q9UHF7,856,887
Q9UHF7,961,1000
Q9UHF7,1039,1080
Q9UHF7,1168,1196
Q9UKV8,1,27
Q9UL51,1,159
Q9UL51,754,889
Q9ULH0,1182,1202
Q9ULH0,1285,1310
Q9ULH0,1344,1368
Q9ULH0,1397,1564
Q9ULH0,1578,1633
Q9ULH0,1713,1771
Q9UM47,1,26
Q9UM47,2024,2120
Q9UM47,2190,2321
Q9UM54,934,955
Q9UNE0,220,297
Q9UNE7,1,30
Q9UQR1,298,336
Q9UQR1,574,596
Q9Y210,1,26
Q9Y4D2,846,903
Q9Y4D2,1014,1042
