"case_group","case_hgnc","case_transcript","case_cds_length","case_NMD_region_start","case_NMD_region_end","case_NMDesc_region_length","case_nmd_cds_ratio","control_group","control_hgnc","control_transcript","control_cds_length","control_NMD_region_start","control_NMD_region_end","control_NMDesc_region_length","control_nmd_cds_ratio","cds_log10_diff","ratio_abs_diff"
"snv","MYH9","ENST00000216181",5883,5664,5851,188,0.0319564847866735,"snv_control","DICER1","ENST00000343455",5769,5554,5769,216,0.0374414976599064,0.00849830942930385,0.00548501287323293
"snv","NAGLU","ENST00000225927",2232,972,2232,1261,0.564964157706093,"snv_control","HRG","ENST00000232003",1578,692,1578,887,0.562103929024081,0.15058719139214,0.00286022868201208
"snv","NARS1","ENST00000256854",1647,1466,1647,182,0.11050394656952,"snv_control","KAT5","ENST00000341318",1641,1457,1641,185,0.112736136502133,0.00158501811666145,0.00223218993261251
"snv","NKX2-1","ENST00000354822",1206,202,636,435,0.360696517412935,"snv_control","TFG","ENST00000240851",1203,771,1203,433,0.359933499584372,0.00108168046428769,0.000763017828562917
"snv","NKX2-5","ENST00000329198",975,28,824,797,0.817435897435897,"snv_control","APOL1","ENST00000397278",1197,265,1197,933,0.779448621553885,0.0890895347078735,0.0379872758820127
"snv","NOTCH2","ENST00000256646",7416,5938,7348,1411,0.190264293419633,"snv_control","CACNA1I","ENST00000402142",6672,5978,6672,695,0.104166666666667,0.0459136835067584,0.0860976267529665
"snv","NOTCH3","ENST00000263388",6966,5828,6774,947,0.135946023542923,"snv_control","CACNA1S","ENST00000362061",5622,5321,5622,302,0.0537175382426183,0.0930926288507954,0.0822284853003045
"snv","NR3C2","ENST00000358102",2955,2750,2955,206,0.0697123519458545,"snv_control","STOX1","ENST00000298596",2970,2773,2970,198,0.0666666666666667,0.00219896409993803,0.00304568527918782
"snv","NSD1","ENST00000439151",8091,6414,8091,1678,0.207390928191818,"snv_control","KMT2B","ENST00000420124",8148,7823,8148,326,0.0400098183603338,0.00304881915557287,0.167381109831484
"snv","ODC1","ENST00000234111",1386,1191,1386,196,0.141414141414141,"snv_control","BSCL2","ENST00000360796",1389,1185,1389,205,0.147588192944564,0.000939015461827619,0.00617405153042302
"snv","OPLAH","ENST00000618853",3867,3610,3770,161,0.0416343418670804,"snv_control","CDON","ENST00000531738",3795,3582,3795,214,0.0563899868247694,0.00816239184156631,0.014755644957689
"snv","PALB2","ENST00000261584",3561,3287,3475,189,0.0530749789385004,"snv_control","LAMB3","ENST00000356082",3519,3333,3519,187,0.0531400966183575,0.00515270683906222,6.51176798570699e-05
"snv","PKD1","ENST00000262304",12912,12020,12637,618,0.0478624535315985,"snv_control","LRP1","ENST00000243077",13635,13445,13635,191,0.014008067473414,0.0236616248996535,0.0338543860581845
"snv","PLEC","ENST00000345136",13644,7328,13585,6258,0.458663148636763,"snv_control","FAT2","ENST00000261800",13050,12468,13050,583,0.0446743295019157,0.0193311990610603,0.413988819134848
"snv","POGZ","ENST00000271715",4233,2521,4233,1713,0.404677533664068,"snv_control","KCNH5","ENST00000322893",2967,1970,2967,998,0.336366700370745,0.154330722157169,0.0683108332933232
"snv","PPM1D","ENST00000305921",1818,1196,1708,513,0.282178217821782,"snv_control","WBP11","ENST00000261167",1926,1443,1926,484,0.251298026998962,0.0250624039025671,0.0308801908228206
"snv","PPOX","ENST00000367999",1434,1242,1434,193,0.134588563458856,"snv_control","SLC39A14","ENST00000381237",1479,1283,1479,197,0.133198106828938,0.013419022665111,0.00139045662991785
"snv","PRPF8","ENST00000304992",7008,6730,6878,149,0.0212614155251142,"snv_control","F5","ENST00000367797",6675,6479,6675,197,0.0295131086142322,0.0211428231234114,0.00825169308911805
"snv","RARB","ENST00000330688",1347,1101,1347,247,0.183370452858203,"snv_control","TUBG1","ENST00000251413",1356,1109,1356,248,0.182890855457227,0.00289209380805922,0.000479597400976278
"snv","RASA1","ENST00000274376",3144,2992,3109,118,0.0375318066157761,"snv_control","KIF5A","ENST00000455537",3099,2971,3099,129,0.0416263310745402,0.0062609611280875,0.00409452445876409
"snv","RHO","ENST00000296271",1047,887,1047,161,0.153772683858644,"snv_control","GNB2","ENST00000303210",1023,867,1023,157,0.15347018572825,0.0100710479666821,0.000302498130393486
"snv","RP1","ENST00000220676",6471,683,6440,5758,0.889816102611652,"snv_control","RBM12","ENST00000374114",2799,1,2799,2799,1,0.363968501356045,0.110183897388348
"snv","RP1L1","ENST00000382483",7203,702,7203,6502,0.902679439122588,"snv_control","ENAM","ENST00000396073",3429,539,3429,2891,0.84310294546515,0.322345929661746,0.0595764936574377
"snv","SATB1","ENST00000338745",2292,1678,2280,603,0.263089005235602,"snv_control","POU6F2","ENST00000518318",2163,1609,2163,555,0.256588072122053,0.0251580938562608,0.00650093311354938
"snv","SCN5A","ENST00000423572",6048,4646,5942,1297,0.214451058201058,"snv_control","CUX1","ENST00000292535",4518,3838,4518,681,0.150730411686587,0.126665555908806,0.0637206465144712
"snv","SEMA6B","ENST00000586582",2667,1517,2180,664,0.248968878890139,"snv_control","ATXN1","ENST00000436367",2448,1868,2448,581,0.23733660130719,0.0372116022163529,0.0116322775829492
"snv","SERPING1","ENST00000278407",1503,1156,1417,262,0.174318030605456,"snv_control","SERPIND1","ENST00000215727",1500,1259,1500,242,0.161333333333333,0.000867721531226717,0.0129846972721224
"snv","SLC3A1","ENST00000260649",2058,1518,2012,495,0.240524781341108,"snv_control","TBX2","ENST00000240328",2139,1637,2139,503,0.235156615240767,0.0167654141451137,0.00536816610034116
"snv","SLC4A1","ENST00000262418",2736,1210,2628,1419,0.518640350877193,"snv_control","THSD1","ENST00000258613",2559,1131,2559,1429,0.558421258304025,0.0290458071608932,0.039780907426832
"snv","SLCO2A1","ENST00000310926",1932,1765,1932,168,0.0869565217391304,"snv_control","EIF2AK1","ENST00000199389",1893,1715,1893,179,0.0945589012150026,0.00885650811567773,0.00760237947587221
"snv","SMARCD1","ENST00000394963",1548,1445,1548,104,0.0671834625322997,"snv_control","ANXA11","ENST00000422982",1518,1409,1518,110,0.072463768115942,0.00849918478741252,0.00528030558364229
"snv","SNAP25","ENST00000254976",621,502,621,120,0.193236714975845,"snv_control","CSRP3","ENST00000265968",585,459,585,127,0.217094017094017,0.0259357340943995,0.0238573021181717
"snv","SPR","ENST00000234454",786,545,786,242,0.307888040712468,"snv_control","COMT","ENST00000361682",816,566,816,251,0.307598039215686,0.0162676127144534,0.000290001496781878
"snv","STXBP1","ENST00000373299",1785,1653,1785,133,0.0745098039215686,"snv_control","MYLK2","ENST00000375985",1791,1661,1791,131,0.073143495254048,0.00145736540081964,0.0013663086675206
"snv","TEK","ENST00000380036",3375,3227,3334,108,0.032,"snv_control","TIE1","ENST00000372476",3417,3296,3417,122,0.0357038337723149,0.00537120163171911,0.0037038337723149
"snv","TGFB3","ENST00000238682",1239,928,1225,298,0.240516545601291,"snv_control","NR2F2","ENST00000394166",1245,921,1245,325,0.261044176706827,0.00209804505569178,0.020527631105536
"snv","TGFBR2","ENST00000295754",1704,1436,1681,246,0.144366197183099,"snv_control","SHOC2","ENST00000369452",1749,1491,1749,259,0.148084619782733,0.0113202190479953,0.0037184225996344
"snv","TP63","ENST00000264731",2043,1697,2043,347,0.169848262359276,"snv_control","IVNS1ABP","ENST00000367498",1929,1626,1929,304,0.157594608605495,0.0249361389885632,0.0122536537537805
"snv","TRPC6","ENST00000344327",2796,2584,2758,175,0.0625894134477825,"snv_control","GANAB","ENST00000356638",2835,2676,2835,160,0.0564373897707231,0.0060158961552812,0.00615202367705944
"snv","TRPS1","ENST00000395715",3885,2723,3808,1086,0.27953667953668,"snv_control","OSMR","ENST00000274276",2940,2318,2940,623,0.211904761904762,0.121043692724776,0.0676319176319176
"snv","TSHR","ENST00000298171",2295,831,2295,1465,0.638344226579521,"snv_control","PRLR","ENST00000618457",1869,806,1869,1064,0.569288389513109,0.0891733884944483,0.0690558370664122
"snv","VHL","ENST00000256474",642,299,559,261,0.406542056074766,"snv_control","TIMP3","ENST00000266085",636,389,636,248,0.389937106918239,0.00407791242043931,0.0166049491565273
"snv","WFS1","ENST00000226760",2673,650,2492,1843,0.689487467265245,"snv_control","NOVA2","ENST00000263257",1479,347,1479,1133,0.76605814739689,0.257030784759645,0.0765706801316448
"snv","WNT1","ENST00000293549",1113,384,769,386,0.34681042228212,"snv_control","GHSR","ENST00000241256",1101,747,1101,355,0.322434150772025,0.00470784536295632,0.024376271510095
"snv","YY1","ENST00000262238",1245,1013,1245,233,0.18714859437751,"snv_control","IRF3","ENST00000377139",1284,1049,1284,236,0.18380062305296,0.0133956723010793,0.00334797132455056
"snv","ZEB2","ENST00000627532",3645,3018,3645,628,0.172290809327846,"snv_control","TSC1","ENST00000298552",3495,2926,3495,570,0.163090128755365,0.0182503525722932,0.00920068057248158
"snv","ZIC1","ENST00000282928",1344,1097,1344,248,0.18452380952381,"snv_control","SLC52A1","ENST00000254853",1347,1085,1347,263,0.19524870081663,0.000968327005178793,0.01072489129282
"snv","ZNF148","ENST00000360647",2385,719,2348,1630,0.683438155136268,"snv_control","ALG10B","ENST00000308742",1422,320,1422,1103,0.775668073136428,0.224588786982385,0.0922299180001592
"snv","ZNF292","ENST00000369577",8172,956,8143,7188,0.879588839941263,"snv_control","SAMD9L","ENST00000318238",4755,1,4755,4755,1,0.235177836686977,0.120411160058737
"fs","APOB","ENST00000233242",13692,11956,13609,1654,0.120800467426234,"fs_control","RYR2","ENST00000366574",14904,14714,14892,179,0.0120101986044015,0.0368359514223471,0.108790268821833
"fs","ARID1A","ENST00000324856",6858,5002,6835,1834,0.267424905220181,"fs_control","CACNA1E","ENST00000367573",6942,6262,6920,659,0.0949294151541343,0.00528712855646774,0.172495490066047
"fs","AUTS2","ENST00000342771",3780,2452,3502,1051,0.278042328042328,"fs_control","PDE10A","ENST00000539869",3168,2182,3126,945,0.298295454545455,0.0767066269197696,0.0202531265031265
"fs","BARD1","ENST00000260947",2334,1922,2312,391,0.167523564695801,"fs_control","MPO","ENST00000225275",2238,1894,2173,280,0.125111706881144,0.0182407695170204,0.0424118578146573
"fs","BCL11B","ENST00000357195",2685,1966,2647,682,0.254003724394786,"fs_control","KCNQ3","ENST00000388996",2619,1810,2544,735,0.280641466208477,0.0108087916103421,0.0266377418136907
"fs","BPTF","ENST00000306378",8763,8630,8719,90,0.0102704553235193,"fs_control","NF1","ENST00000358273",8520,8290,8425,136,0.015962441314554,0.0122132169265119,0.00569198599103465
"fs","BRCA1","ENST00000357654",5592,5290,5522,233,0.0416666666666667,"fs_control","ARFGEF1","ENST00000262215",5550,5320,5528,209,0.0376576576576577,0.00327417961494847,0.00400900900900901
"fs","CACNA1A","ENST00000360228",7521,6520,7207,688,0.0914771971812259,"fs_control","FLNB","ENST00000295956",7809,7430,7652,223,0.0285567934434627,0.0163198341510191,0.0629204037377632
"fs","CAPN3","ENST00000397163",2466,2152,2360,209,0.0847526358475264,"fs_control","IMPG1","ENST00000369950",2394,2180,2359,180,0.075187969924812,0.0128689261893209,0.00956466592271434
"fs","CASR","ENST00000639785",3237,1548,3184,1637,0.505715168365771,"fs_control","POLD1","ENST00000440232",3324,1552,3222,1671,0.502707581227437,0.0115183157095,0.00300758713833393
"fs","CELF2","ENST00000633077",1566,1120,1489,370,0.236270753512133,"fs_control","CYP19A1","ENST00000396402",1512,1164,1460,297,0.196428571428571,0.0152399665567371,0.0398421820835614
"fs","CFTR","ENST00000003084",4443,4186,4390,205,0.046139995498537,"fs_control","SYCP2","ENST00000357552",4593,4414,4567,154,0.0335292836925757,0.0144201321770527,0.0126107118059614
"fs","CLCN1","ENST00000343257",2967,2447,2954,508,0.171216717222784,"fs_control","CTNNA1","ENST00000302763",2721,2310,2659,350,0.128629180448365,0.0375890045370841,0.0425875367744194
"fs","COL12A1","ENST00000322507",9192,4482,8956,4475,0.4868363794604,"fs_control","MTOR","ENST00000361445",7650,3752,7542,3791,0.495555555555556,0.0797485805266112,0.00871917609515521
"fs","COL2A1","ENST00000380518",4464,4188,4416,229,0.0512992831541219,"fs_control","DCC","ENST00000442544",4344,4132,4312,181,0.0416666666666667,0.0118343693487319,0.0096326164874552
"fs","COL3A1","ENST00000304636",4401,4196,4340,145,0.0329470574869348,"fs_control","COL5A2","ENST00000374866",4500,4290,4448,159,0.0353333333333333,0.00966114521239847,0.00238627584639855
"fs","COL5A1","ENST00000371817",5517,2558,5344,2787,0.505165851005982,"fs_control","CAMTA1","ENST00000303635",5022,2412,4966,2555,0.508761449621665,0.0408262755808364,0.00359559861568315
"fs","COMP","ENST00000222271",2274,1056,2083,1028,0.452066842568162,"fs_control","KCNC3","ENST00000477616",2274,1052,2083,1032,0.453825857519789,0,0.00175901495162711
"fs","CPT2","ENST00000371486",1977,1586,1948,363,0.18361153262519,"fs_control","NEXN","ENST00000334785",2028,1568,1916,349,0.172090729783037,0.0110612813476263,0.0115208028421522
"fs","CRB1","ENST00000367400",4221,3876,4114,239,0.056621653636579,"fs_control","ZMYM2","ENST00000610343",4134,3818,4100,283,0.0684567005321722,0.00904487986313862,0.0118350468955932
"fs","CREBBP","ENST00000262367",7329,4938,7162,2225,0.303588484104243,"fs_control","CHD3","ENST00000330494",6003,2910,5706,2797,0.465933699816758,0.0866763783372253,0.162345215712515
"fs","CXCR4","ENST00000241393",1059,464,996,533,0.503305004721435,"fs_control","SLC30A2","ENST00000374276",1119,450,978,529,0.472743521000894,0.023934126420865,0.0305614837205417
"fs","DAGLA","ENST00000257215",3129,2068,3056,989,0.316075423457974,"fs_control","KCNQ5","ENST00000370398",2799,1776,2768,993,0.354769560557342,0.0484026646800308,0.0386941370993681
"fs","DCHS1","ENST00000299441",9897,7176,9688,2513,0.253915327877135,"fs_control","TRIO","ENST00000344204",9294,8636,9241,606,0.065203357004519,0.0273009021221564,0.188711970872615
"fs","DDR2","ENST00000367921",2568,2288,2478,191,0.0743769470404984,"fs_control","VPS16","ENST00000380445",2520,2297,2454,158,0.0626984126984127,0.00819447861527145,0.0116785343420857
"fs","DES","ENST00000373960",1413,1248,1370,123,0.0870488322717622,"fs_control","CETP","ENST00000200676",1482,1330,1459,130,0.087719298245614,0.0207060417947504,0.000670465973851828
"fs","DPF2","ENST00000528416",1176,995,1114,120,0.102040816326531,"fs_control","CSNK2A1","ENST00000217244",1176,953,1063,111,0.0943877551020408,0,0.0076530612244898
"fs","DSP","ENST00000379802",8616,5310,8490,3181,0.369196843082637,"fs_control","SPTAN1","ENST00000372739",7434,3676,7334,3659,0.492198009147162,0.0640831335302181,0.123001166064525
"fs","DVL3","ENST00000313143",2151,1482,2136,655,0.304509530450953,"fs_control","SIK1","ENST00000270162",2352,1696,2312,617,0.262329931972789,0.0387969070166383,0.0421795984781639
"fs","DYNC1H1","ENST00000360184",13941,6881,13746,6866,0.492504124524783,"fs_control","TRRAP","ENST00000456197",11622,4481,11440,6960,0.598864223025297,0.0790130560957758,0.106360098500514
"fs","EFTUD2","ENST00000426333",2919,2650,2851,202,0.0692017814319973,"fs_control","AARS1","ENST00000261772",2907,2621,2842,222,0.0763673890608875,0.00178906321758676,0.00716560762889025
"fs","ELANE","ENST00000263621",804,266,488,223,0.277363184079602,"fs_control","SLC25A4","ENST00000281456",897,635,856,222,0.247491638795987,0.047536394295641,0.0298715452836154
"fs","EP300","ENST00000263253",7245,4858,7213,2356,0.325189786059351,"fs_control","WNK1","ENST00000315939",7149,3382,6841,3460,0.483983773954399,0.00579309274107498,0.158793987895048
"fs","ERCC6","ENST00000355832",4482,3952,4428,477,0.106425702811245,"fs_control","ADCY10","ENST00000367851",4833,4498,4806,309,0.063935443823712,0.0327449429398383,0.042490258987533
"fs","EYA1","ENST00000340726",1779,812,1644,833,0.468240584598089,"fs_control","F12","ENST00000253496",1848,655,1520,866,0.468614718614719,0.0165260188001626,0.000374134016629779
"fs","EZH2","ENST00000320356",2256,2134,2212,79,0.0350177304964539,"fs_control","STAT1","ENST00000361099",2253,2152,2216,65,0.0288504216600089,0.000577903587474005,0.00616730883644502
"fs","FBN1","ENST00000316623",8616,8099,8586,488,0.0566388115134633,"fs_control","DMXL2","ENST00000560891",9177,8856,9140,285,0.031055900621118,0.0273950414144157,0.0255829108923453
"fs","FBXO11","ENST00000403359",2784,2584,2760,177,0.0635775862068965,"fs_control","DHTKD1","ENST00000263035",2760,2560,2714,155,0.0561594202898551,0.00376014887330678,0.00741816591704147
"fs","FGA","ENST00000403106",1935,426,1786,1361,0.703359173126615,"fs_control","TBX6","ENST00000395224",1311,1,948,948,0.723112128146453,0.169078277664846,0.0197529550198381
"fs","FH","ENST00000366560",1533,1238,1506,269,0.175472928897586,"fs_control","YAP1","ENST00000282441",1515,1199,1486,288,0.19009900990099,0.00512952201605099,0.0146260810034037
"fs","FLG","ENST00000368799",12186,86,12048,11963,0.981700311833251,"fs_control","POLE","ENST00000320574",6861,1,6595,6595,0.961230141378808,0.24947375446204,0.0204701704544434
"fs","FLNC","ENST00000325888",8178,7793,8092,300,0.0366837857666911,"fs_control","ATR","ENST00000350721",7935,7703,7856,154,0.0194076874606175,0.01310017512745,0.0172760983060736
"fs","FOXN1","ENST00000579795",1947,1170,1794,625,0.32100667693888,"fs_control","SCNN1G","ENST00000300061",1950,1446,1892,447,0.229230769230769,0.000668659842486097,0.0917759077081111
"fs","FTL","ENST00000331825",528,298,442,145,0.274621212121212,"fs_control","TNNI3","ENST00000344887",633,476,608,133,0.210110584518167,0.0787697874835431,0.0645106276030446
"fs","FUS","ENST00000254108",1581,720,1426,707,0.4471853257432,"fs_control","NEFL","ENST00000610854",1632,709,1458,750,0.459558823529412,0.0137882844856336,0.0123734977862112
"fs","FZD4","ENST00000531380",1614,90,1590,1501,0.92998760842627,"fs_control","PSAP","ENST00000394936",1575,1,1453,1453,0.922539682539683,0.0106229722604323,0.0074479258865876
"fs","GATA2","ENST00000341105",1443,908,1286,379,0.262647262647263,"fs_control","CREB3L3","ENST00000078445",1386,810,1219,410,0.295815295815296,0.0175031008177062,0.0331680331680332
"fs","GCK","ENST00000403799",1398,1036,1330,295,0.21101573676681,"fs_control","TFAP2B","ENST00000393655",1383,1016,1322,307,0.221981200289226,0.00468499130035216,0.0109654635224166
"fs","GLI2","ENST00000361492",4710,2081,4602,2522,0.535456475583864,"fs_control","ARHGAP31","ENST00000264245",4335,1832,4282,2451,0.565397923875433,0.0360318053166671,0.0299414482915684
"fs","GNAS","ENST00000371085",1185,912,1088,177,0.149367088607595,"fs_control","CASQ1","ENST00000368078",1191,936,1111,176,0.147774979009236,0.00219341113665461,0.00159210959835898
"fs","GRIN2A","ENST00000330684",4395,2458,4360,1903,0.432992036405006,"fs_control","INSR","ENST00000302850",4149,2178,4042,1865,0.449505905037358,0.0250154445808177,0.0165138686323527
"fs","GRIN2B","ENST00000609686",4455,2436,4394,1959,0.43973063973064,"fs_control","CPSF1","ENST00000616140",4332,2116,4140,2025,0.467451523545706,0.0121592604196108,0.0277208838150666
"fs","GRM1","ENST00000282753",3585,2514,3427,914,0.254951185495119,"fs_control","MYOCD","ENST00000425538",2961,2326,2918,593,0.200270178993583,0.0830507526145197,0.0546810065015353
"fs","HCN2","ENST00000251287",2670,1886,2233,348,0.130337078651685,"fs_control","CTNNA3","ENST00000433211",2688,2327,2662,336,0.125,0.00291800301721246,0.0053370786516854
"fs","HIVEP2","ENST00000367603",7341,6440,7230,791,0.107750987603869,"fs_control","ABCA1","ENST00000374736",6786,6452,6763,312,0.0459770114942529,0.0341413687623526,0.0617739761096158
"fs","HNRNPU","ENST00000640218",2478,1679,2122,444,0.179176755447942,"fs_control","GARS1","ENST00000389266",2220,1870,2161,292,0.131531531531532,0.0477483275894057,0.0476452239164104
"fs","HSPB1","ENST00000248553",618,202,558,357,0.577669902912621,"fs_control","CSNK2B","ENST00000375882",648,1,392,392,0.604938271604938,0.0205865307817774,0.027268368692317
"fs","IL6ST","ENST00000381298",2757,1949,2680,732,0.26550598476605,"fs_control","HCN1","ENST00000303230",2673,1649,2504,856,0.320239431350542,0.0134378073492365,0.0547334465844924
"fs","ITGA2B","ENST00000262407",3120,1382,2916,1535,0.491987179487179,"fs_control","ATP1A1","ENST00000295598",3072,1468,2932,1465,0.476888020833333,0.00673338265896861,0.0150991586538461
"fs","JAG1","ENST00000254958",3657,3136,3547,412,0.112660650806672,"fs_control","EGFR","ENST00000275493",3633,3134,3604,471,0.129644921552436,0.00285956247532981,0.0169842707457639
