hgnc_symbol,pLI,oe_lof_upper,group,pli_cat,loeuf_cat
A2ML1,1.6109e-34,0.952,snv_control,Low,High
AAGAB,3.8664e-7,1.037,snv_control,Low,High
AAGAB,3.8664e-7,1.037,fs_control,Low,High
ABCA1,1.4525e-13,0.486,fs_control,Low,Medium
ABCA1,1.4525e-13,0.486,snv,Low,Medium
ABCA4,5.3499e-48,0.91,fs_control,Low,High
ABCA4,5.3499e-48,0.91,snv,Low,High
ABCB6,8.599900000000001e-19,0.977,snv_control,Low,High
ABCC11,3.9884e-46,1.236,snv_control,Low,High
ABCC8,7.9571e-24,0.765,snv,Low,High
ABL1,0.99998,0.176,snv_control,High,Low
ACD,1.1148e-12,1.187,fs_control,Low,High
ACD,1.1148e-12,1.187,snv_control,Low,High
ACO2,0.20791,0.417,snv_control,Low,Medium
ACOX1,0.062095,0.462,snv_control,Low,Medium
ACTA2,0.93017,0.364,snv_control,High,Medium
ACTC1,0.73668,0.48,snv_control,High,Medium
ACTL6B,2.8347e-4,0.645,snv_control,Low,High
ACTL6B,2.8347e-4,0.645,fs_control,Low,High
ACTN1,0.99997,0.213,snv_control,High,Medium
ACTN2,0.99968,0.239,fs_control,High,Medium
ACTN2,0.99968,0.239,snv_control,High,Medium
ACVRL1,9.6719e-4,0.692,snv,Low,High
ADAR,0.026282,0.42,snv,Low,Medium
ADCY10,7.3834e-41,1.034,fs_control,Low,High
ADCY10,7.3834e-41,1.034,snv_control,Low,High
ADCY5,0.99928,0.254,snv_control,High,Medium
ADCY5,0.99928,0.254,fs_control,High,Medium
ADIPOQ,4.6434e-9,1.906,snv_control,Low,High
AFF4,1,0.138,snv_control,High,Low
AFG3L2,5.2511e-9,0.7,snv_control,Low,High
AFP,1.1383e-11,0.909,snv_control,Low,High
AGO2,1,0.106,snv,High,Low
AKAP9,4.5249e-17,0.404,snv_control,Low,Medium
ALB,0.64329,0.387,fs_control,Medium,Medium
ALB,0.64329,0.387,snv_control,Medium,Medium
ALDH18A1,8.1212e-4,0.519,snv_control,Low,Medium
ALG10B,2.0263e-8,1.365,snv_control,Low,High
ALG5,0.46347,0.453,snv_control,Medium,Medium
ALG8,1.1804e-8,0.83,snv,Low,High
ALPL,3.636e-4,0.693,snv,Low,High
ANK1,1,0.169,snv,High,Low
ANK2,1,0.106,snv_control,High,Low
ANK2,1,0.106,fs_control,High,Low
ANKH,0.27856,0.499,snv_control,Low,Medium
ANLN,0.14261,0.374,snv_control,Low,Medium
ANO1,0.87426,0.33,snv_control,High,Medium
ANO3,1.2489e-17,0.766,snv_control,Low,High
ANO5,2.8542e-22,0.949,snv,Low,High
ANTXR1,0.98631,0.3,fs_control,High,Medium
ANTXR1,0.98631,0.3,snv_control,High,Medium
ANXA11,4.7001e-10,0.98,snv_control,Low,High
AP1G1,0.99998,0.202,snv_control,High,Medium
AP1G1,0.99998,0.202,fs_control,High,Medium
AP4E1,0.0027529,0.431,snv,Low,Medium
APOB,1.9234e-16,0.461,fs,Low,Medium
APOL1,5.1357e-6,1.725,snv_control,Low,High
APPL1,0.7952,0.35,snv_control,High,Medium
ARCN1,0.99997,0.101,fs_control,High,Low
ARCN1,0.99997,0.101,snv_control,High,Low
ARFGEF1,1,0.143,fs_control,High,Low
ARFGEF1,1,0.143,snv_control,High,Low
ARHGAP31,0.99999,0.192,fs_control,High,Low
ARID1A,1,0.071,fs,High,Low
ARID1A,1,0.071,snv,High,Low
ARID2,1,0.096,fs_control,High,Low
ARID2,1,0.096,snv,High,Low
ASB10,2.6403e-12,1.619,snv_control,Low,High
ATAD3A,4.0861e-9,0.827,snv_control,Low,High
ATL1,0.98109,0.308,fs_control,High,Medium
ATL1,0.98109,0.308,snv_control,High,Medium
ATL3,1.3349e-9,0.904,snv_control,Low,High
ATN1,0.99992,0.194,snv_control,High,Low
ATP1A1,1,0.121,fs_control,High,Low
ATP1A2,1.8093e-4,0.495,snv,Low,Medium
ATP2A2,0.99945,0.246,snv_control,High,Medium
ATP6V0A1,0.99797,0.268,snv_control,High,Medium
ATP6V0C,0.74232,0.667,fs_control,High,High
ATP6V1A,0.86801,0.358,snv_control,High,Medium
ATP6V1B2,0.99154,0.287,snv_control,High,Medium
ATR,3.5177e-9,0.399,snv_control,Low,Medium
ATR,3.5177e-9,0.399,fs_control,Low,Medium
ATXN1,0.97498,0.316,snv_control,High,Medium
ATXN10,3.4514e-4,0.697,snv_control,Low,High
AUTS2,0.99934,0.253,snv_control,High,Medium
AVP,0.074413000000000007,1.452,snv_control,Low,High
AXIN2,0.57015,0.396,snv_control,Medium,Medium
AXIN2,0.57015,0.396,fs_control,Medium,Medium
BACH2,0.99803,0.233,snv_control,High,Medium
BAP1,0.99443,0.277,snv,High,Medium
BARD1,1.3777e-24,1.358,snv,Low,High
BARD1,1.3777e-24,1.358,fs,Low,High
BCL11B,0.98881,0.282,fs,High,Medium
BEST1,1.8214e-12,1.489,snv_control,Low,High
BEST1,1.8214e-12,1.489,fs_control,Low,High
BFSP1,1.8463e-7,1.119,fs_control,Low,High
BFSP1,1.8463e-7,1.119,snv_control,Low,High
BFSP2,3.2152e-8,1.038,fs_control,Low,High
BFSP2,3.2152e-8,1.038,snv_control,Low,High
BICC1,0.83685,0.339,fs_control,High,Medium
BICC1,0.83685,0.339,snv_control,High,Medium
BICD2,0.98272,0.305,snv_control,High,Medium
BMPR1A,0.90333,0.355,snv,High,Medium
BMPR1B,0.99863,0.225,fs_control,High,Medium
BMPR1B,0.99863,0.225,snv_control,High,Medium
BMPR2,0.99998,0.191,snv_control,High,Low
BMPR2,0.99998,0.191,fs_control,High,Low
BNC1,0.96479,0.326,fs_control,High,Medium
BPTF,1,0.099,snv_control,High,Low
BRCA1,9.215699999999999e-29,0.915,snv,Low,High
BRCA1,9.215699999999999e-29,0.915,fs,Low,High
BRIP1,6.206e-17,0.786,snv,Low,High
BRPF1,1,0.176,snv_control,High,Low
BRPF1,1,0.176,fs_control,High,Low
BSCL2,1.0981e-9,1.008,snv_control,Low,High
BUB1B,6.998e-10,0.58,fs_control,Low,Medium
BUB1B,6.998e-10,0.58,snv_control,Low,Medium
C1S,6.7654e-4,0.596,snv,Low,Medium
C3,0.90421,0.305,fs_control,High,Medium
C3,0.90421,0.305,snv_control,High,Medium
C5,8.079e-24,0.695,snv_control,Low,High
C5,8.079e-24,0.695,fs_control,Low,High
C9,1.6323e-24,1.514,snv_control,Low,High
C9,1.6323e-24,1.514,fs_control,Low,High
C9orf72,1.0647e-6,0.928,snv_control,Low,High
CACNA1A,1,0.134,snv_control,High,Low
CACNA1C,1,0.102,fs_control,High,Low
CACNA1D,1,0.214,fs_control,High,Medium
CACNA1D,1,0.214,snv_control,High,Medium
CACNA1E,1,0.124,snv_control,High,Low
CACNA1E,1,0.124,fs_control,High,Low
CACNA1G,1,0.211,snv_control,High,Medium
CACNA1H,4.7778e-10,0.504,snv_control,Low,Medium
CACNA1I,1,0.202,snv_control,High,Medium
CACNA1S,6.2588e-12,0.521,snv_control,Low,Medium
CACNB2,2.6719e-6,0.692,snv_control,Low,High
CACNB4,0.030679,0.491,snv_control,Low,Medium
CAMK2B,0.73914,0.364,snv_control,High,Medium
CAMTA1,1,0.172,fs_control,High,Low
CAMTA1,1,0.172,snv_control,High,Low
CAPN3,3.5865e-19,0.965,fs,Low,High
CAPN3,3.5865e-19,0.965,snv_control,Low,High
CAPRIN1,0.97247,0.311,snv_control,High,Medium
CAPRIN1,0.97247,0.311,fs_control,High,Medium
CARD11,0.99995,0.227,fs_control,High,Medium
CARD11,0.99995,0.227,snv_control,High,Medium
CASP10,4.6392e-12,1.287,snv_control,Low,High
CASQ1,3.857e-18,1.576,snv_control,Low,High
CASQ1,3.857e-18,1.576,fs_control,Low,High
CASR,0.046698,0.451,snv,Low,Medium
CASR,0.046698,0.451,fs,Low,Medium
CAV1,0.008274,1.31,snv_control,Low,High
CBFB,0.9589,0.33,snv_control,High,Medium
CBL,6.0921e-4,0.503,snv_control,Low,Medium
CCDC50,3.9152e-7,0.744,snv_control,Low,High
CCNF,0.12679,0.419,snv_control,Low,Medium
CD164,0.48906,0.613,snv_control,Medium,High
CD46,4.7013e-7,0.896,fs_control,Low,High
CD46,4.7013e-7,0.896,snv_control,Low,High
CD96,1.392e-11,0.97,snv_control,Low,High
CDC42BPB,1,0.12,fs_control,High,Low
CDC42BPB,1,0.12,snv_control,High,Low
CDC73,0.99995,0.188,fs_control,High,Low
CDC73,0.99995,0.188,snv_control,High,Low
CDH1,0.14631,0.43,snv,Low,Medium
CDH11,0.9999,0.156,fs_control,High,Low
CDH11,0.9999,0.156,snv_control,High,Low
CDH15,1.7656e-14,1.105,snv_control,Low,High
CDH2,0.99171,0.29,snv_control,High,Medium
CDK13,0.90753,0.324,snv_control,High,Medium
CDK13,0.90753,0.324,fs_control,High,Medium
CDK19,0.99982,0.163,snv_control,High,Low
CDK4,0.062909,0.642,snv_control,Low,High
CDK8,0.40964,0.418,snv_control,Medium,Medium
CDKN1B,0.62376,0.645,snv,Medium,High
CDKN1C,0.81963,0.529,fs,High,Medium
CDKN1C,0.81963,0.529,snv,High,Medium
CDKN2A,0.39474,0.949,snv_control,Medium,High
CDON,2.0608e-15,0.779,snv_control,Low,High
CEACAM16,1.5758e-5,1.032,snv_control,Low,High
CEBPE,0.0070769,0.995,fs_control,Low,High
CELA2A,1.9736e-16,1.83,snv_control,Low,High
CELF2,0.99965,0.174,snv,High,Low
CEP85L,4.5367e-9,0.707,snv_control,Low,High
CETP,1.1892e-23,1.499,fs_control,Low,High
CETP,1.1892e-23,1.499,snv_control,Low,High
CFB,3.3549e-4,0.522,fs_control,Low,Medium
CFB,4.6696e-16,0.692,fs_control,Low,High
CFC1,0.10509,1.247,fs_control,Low,High
CFH,0.86061,0.324,snv,High,Medium
CFHR1,2.6297e-8,1.53,snv_control,Low,High
CFHR3,1.72e-11,1.603,snv_control,Low,High
CFTR,2.1735e-58,1.307,snv,Low,High
CFTR,2.1735e-58,1.307,fs,Low,High
CHCHD10,5.3661e-6,1.91,snv_control,Low,High
CHCHD2,1.7328e-7,1.904,snv_control,Low,High
CHD3,1,0.147,snv_control,High,Low
CHD3,1,0.147,fs_control,High,Low
CHD5,1,0.157,fs_control,High,Low
CHD5,1,0.157,snv_control,High,Low
CHMP2B,4.6203e-6,1.216,snv_control,Low,High
CHN1,0.030508,0.567,snv_control,Low,Medium
CHRNA1,2.0681e-8,1.079,snv_control,Low,High
CHRNA1,2.0681e-8,1.079,fs_control,Low,High
CHRNA4,8.5474e-5,0.822,fs_control,Low,High
CHRNA4,8.5474e-5,0.822,snv_control,Low,High
CHRND,5.4466e-9,0.978,fs_control,Low,High
CHRND,5.4466e-9,0.978,snv_control,Low,High
CITED2,0.76271,0.628,snv_control,High,High
CLCN1,3.2501e-20,0.994,snv,Low,High
CLCN2,5.546e-12,0.769,snv_control,Low,High
CLCN2,5.546e-12,0.769,fs_control,Low,High
CLCN3,0.99973,0.222,snv_control,High,Medium
CLCN6,6.1077e-8,0.608,snv_control,Low,High
CLCN7,0.27238,0.394,snv_control,Low,Medium
CLCN7,0.27238,0.394,fs_control,Low,Medium
CLTC,1,0.104,fs_control,High,Low
CLTC,1,0.104,snv_control,High,Low
CNBP,0.95994,0.298,snv_control,High,Medium
CNNM2,0.99521,0.267,fs_control,High,Medium
CNNM2,0.99521,0.267,snv,High,Medium
CNOT1,1,0.038,snv_control,High,Low
CNOT1,1,0.038,fs_control,High,Low
CNOT2,0.99981,0.189,fs_control,High,Low
CNOT2,0.99981,0.189,snv_control,High,Low
COCH,1.2365e-7,0.913,snv_control,Low,High
COCH,1.2365e-7,0.913,fs_control,Low,High
COG4,3.9748e-9,0.713,fs_control,Low,High
COL11A1,1,0.216,fs_control,High,Medium
COL11A1,1,0.216,snv_control,High,Medium
COL12A1,0.97361,0.282,snv_control,High,Medium
COL1A1,1,0.105,snv,High,Low
COL2A1,1,0.134,fs,High,Low
COL2A1,1,0.134,snv,High,Low
COL3A1,1,0.098,snv,High,Low
COL4A1,1,0.128,snv_control,High,Low
COL4A3,1.0699e-12,0.522,snv,Low,Medium
COL5A1,1,0.055,fs,High,Low
COL5A1,1,0.055,snv,High,Low
COL5A2,1,0.097,snv_control,High,Low
COL5A2,1,0.097,fs_control,High,Low
COL6A3,1.8131000000000002e-20,0.562,snv_control,Low,Medium
COL6A3,1.8131000000000002e-20,0.562,fs_control,Low,Medium
COL9A1,3.0742e-19,0.814,fs_control,Low,High
COL9A1,3.0742e-19,0.814,snv_control,Low,High
COL9A2,1.0453e-8,0.636,snv_control,Low,High
COL9A2,1.0453e-8,0.636,fs_control,Low,High
COMP,1.3462e-9,0.765,snv_control,Low,High
COMT,1.1377e-6,1.703,snv_control,Low,High
COPA,1,0.105,snv_control,High,Low
COPB2,1,0.089,fs_control,High,Low
COPB2,1,0.089,snv_control,High,Low
CPA6,4.3984e-17,1.237,fs_control,Low,High
CPA6,4.3984e-17,1.237,snv_control,Low,High
CPSF1,3.1043e-10,0.54,fs_control,Low,Medium
CPT2,4.598e-10,1.172,snv,Low,High
CRB1,5.6266e-16,0.829,snv,Low,High
CRB1,5.6266e-16,0.829,fs,Low,High
CREB3L3,8.0596e-14,1.469,snv_control,Low,High
CREB3L3,8.0596e-14,1.469,fs_control,Low,High
CREBBP,1,0.066,fs,High,Low
CREBBP,1,0.066,snv,High,Low
CRY1,1.662e-9,0.814,snv_control,Low,High
CRYAA,0.17396,0.986,snv_control,Low,High
CRYBA1,6.4088e-5,1.002,snv_control,Low,High
CRYBA1,6.4088e-5,1.002,fs_control,Low,High
CRYBA2,1.9464e-4,1.263,snv_control,Low,High
CRYBB3,3.5766e-11,1.712,snv_control,Low,High
CSF3R,1.5225e-10,0.766,snv,Low,High
CSF3R,1.5225e-10,0.766,fs_control,Low,High
CSNK2A1,0.98711,0.297,snv_control,High,Medium
CSNK2A1,0.98711,0.297,fs_control,High,Medium
CSNK2B,0.91728,0.383,snv_control,High,Medium
CSNK2B,0.91728,0.383,fs_control,High,Medium
CSRP3,1.5859e-4,1.311,snv_control,Low,High
CST3,0.0039011,1.596,snv_control,Low,High
CTCF,0.99994,0.148,snv_control,High,Low
CTNNA1,0.96962,0.313,snv_control,High,Medium
CTNNA1,0.96962,0.313,fs_control,High,Medium
CTNNA3,1.0225e-12,0.85,snv_control,Low,High
CTNNA3,1.0225e-12,0.85,fs_control,Low,High
CTNNB1,0.99999,0.129,snv_control,High,Low
CTNND1,0.99999,0.185,snv_control,High,Low
CTNND1,0.99999,0.185,fs_control,High,Low
CTRC,1.2851e-12,1.692,snv_control,Low,High
CTRC,1.2851e-12,1.692,fs_control,Low,High
CUL3,0.9996,0.228,snv_control,High,Medium
CUX1,1,0.163,snv_control,High,Low
CUX2,1,0.187,fs_control,High,Low
CUX2,1,0.187,snv_control,High,Low
CXCR4,0.017804,1.052,fs,Low,High
CYFIP2,1,0.092,snv_control,High,Low
CYP11B1,8.245e-7,0.955,snv,Low,High
CYP19A1,1.7022e-5,0.877,snv,Low,High
CYP19A1,1.7022e-5,0.877,fs_control,Low,High
CYP2A6,5.401e-9,1.201,snv_control,Low,High
DAGLA,0.99999,0.171,fs,High,Low
DCC,0.99448,0.283,fs_control,High,Medium
DCC,0.99448,0.283,snv_control,High,Medium
DCHS1,0.99997,0.242,snv,High,Medium
DDB1,0.99979,0.243,snv_control,High,Medium
DDR2,0.5503,0.376,snv_control,Medium,Medium
DDX41,5.5908e-8,0.736,snv_control,Low,High
DDX41,5.5908e-8,0.736,fs_control,Low,High
DDX6,0.99964,0.174,snv_control,High,Low
DEAF1,3.4113e-4,0.698,fs_control,Low,High
DES,0.0088282,0.596,snv_control,Low,Medium
DHTKD1,2.7884e-30,1.247,snv_control,Low,High
DHTKD1,2.7884e-30,1.247,fs_control,Low,High
DHX30,1,0.115,fs_control,High,Low
DHX30,1,0.115,snv_control,High,Low
DHX37,0.99252,0.289,snv_control,High,Medium
DHX37,0.99252,0.289,fs_control,High,Medium
DIABLO,2.5722e-6,1.307,fs_control,Low,High
DIAPH3,1.9877e-15,0.743,snv_control,Low,High
DICER1,1,0.166,snv_control,High,Low
DLL4,0.99982,0.188,snv_control,High,Low
DLL4,0.99982,0.188,fs_control,High,Low
DLX3,0.0025519,0.97,snv_control,Low,High
DMXL2,1,0.158,fs_control,High,Low
DMXL2,1,0.158,snv_control,High,Low
DNA2,1.2748e-18,0.927,snv_control,Low,High
DNA2,1.2748e-18,0.927,fs_control,Low,High
DNAJB11,0.22551,0.518,snv_control,Low,Medium
DNAJB11,0.22551,0.518,fs_control,Low,Medium
DNAJB6,0.85436,0.397,snv_control,High,Medium
DNAJC5,0.81216,0.48,snv_control,High,Medium
DNASE1,6.980099999999999e-21,1.948,snv_control,Low,High
DNM1,0.99917,0.252,snv_control,High,Medium
DNM1,0.99917,0.252,fs_control,High,Medium
DNM1L,5.6753e-4,0.505,fs_control,Low,Medium
DNM1L,5.6753e-4,0.505,snv,Low,Medium
DNMT1,1,0.143,snv_control,High,Low
DNMT3A,7.3538e-39,1.581,snv,Low,High
DPF2,0.99985,0.161,snv_control,High,Low
DPP6,0.33997,0.377,snv_control,Low,Medium
DPYSL5,0.99991,0.113,snv_control,High,Low
DSC2,5.1749e-8,0.689,snv_control,Low,High
DSC2,5.1749e-8,0.689,fs_control,Low,High
DSG2,2.7913e-10,0.79,snv,Low,High
DSP,0.99978,0.26,fs,High,Medium
DSP,0.99978,0.26,snv,High,Medium
DSTYK,0.51262,0.371,snv_control,Medium,Medium
DSTYK,0.51262,0.371,fs_control,Medium,Medium
DUSP6,0.97603,0.261,snv_control,High,Medium
DVL3,0.38544,0.422,snv_control,Medium,Medium
DVL3,0.38544,0.422,fs,Medium,Medium
DYNC1H1,1,0.08,snv_control,High,Low
DZIP1,3.1283e-20,1.03,snv_control,Low,High
EDN1,0.45504,0.635,snv_control,Medium,High
EDN3,0.024568,0.964,snv_control,Low,High
EEF1A2,0.99558,0.186,snv_control,High,Low
EFEMP1,0.99992,0.153,snv_control,High,Low
EFEMP1,0.99992,0.153,fs_control,High,Low
EFHC1,1.8959e-17,1.205,snv_control,Low,High
EFHC1,1.8959e-17,1.205,fs_control,Low,High
EFTUD2,1,0.094,fs,High,Low
EFTUD2,1,0.094,snv_control,High,Low
EGFR,0.36837,0.349,snv_control,Medium,Medium
EGFR,0.36837,0.349,fs_control,Medium,Medium
EGLN1,0.97403,0.303,fs_control,High,Medium
EIF2AK1,7.0148e-7,0.71,snv_control,Low,High
EIF4A2,0.99835,0.205,snv_control,High,Medium
EIF4A2,0.99835,0.205,fs_control,High,Medium
ELANE,0.0012274,1.129,fs,Low,High
ELMOD3,5.0378e-16,1.606,snv_control,Low,High
ELN,2.1429e-14,0.871,snv_control,Low,High
ELN,2.1429e-14,0.871,fs_control,Low,High
ELOVL1,0.67897,0.462,snv_control,High,Medium
ELOVL5,0.93341,0.355,snv_control,High,Medium
ELP4,1.2277e-7,1.028,snv_control,Low,High
EMILIN1,0.0043908,0.512,fs_control,Low,Medium
EMILIN1,0.0043908,0.512,snv_control,Low,Medium
ENAM,1.2999e-12,0.838,snv_control,Low,High
ENG,0.99858,0.24,snv,High,Medium
ENG,0.99858,0.24,fs_control,High,Medium
EP300,1,0.099,fs,High,Low
EP300,1,0.099,snv,High,Low
EPAS1,0.5961,0.381,snv_control,Medium,Medium
EPCAM,1.2844e-7,1.159,fs_control,Low,High
EPCAM,1.2844e-7,1.159,snv_control,Low,High
EPHA2,1.073e-5,0.555,snv_control,Low,Medium
EPHB4,0.013497,0.422,snv,Low,Medium
EPOR,0.0101,0.652,fs_control,Low,High
EPS8L3,9.2378e-14,0.914,snv_control,Low,High
ERBB3,1.7003e-15,0.685,fs_control,Low,High
ERBB4,0.99912,0.265,snv_control,High,Medium
ERBB4,0.99912,0.265,fs_control,High,Medium
ERCC6,5.1622e-22,0.802,snv_control,Low,High
ESR1,0.9992,0.19,snv_control,High,Low
ESR2,4.4516e-8,1.007,snv_control,Low,High
ETV6,0.9735,0.318,snv_control,High,Medium
ETV6,0.9735,0.318,fs_control,High,Medium
EVC,3.4620000000000003e-25,1.064,snv_control,Low,High
EVC2,1.0207e-34,1.064,snv,Low,High
EXT1,0.99732,0.261,snv,High,Medium
EXT2,1.3179e-9,0.766,fs_control,Low,High
EXT2,1.3179e-9,0.766,snv_control,Low,High
EYA1,0.94588,0.332,snv,High,Medium
EYA1,0.94588,0.332,fs,High,Medium
EYA4,0.04872,0.45,fs_control,Low,Medium
EYA4,0.04872,0.45,snv_control,Low,Medium
EZH2,1,0.146,snv_control,High,Low
F12,8.2526e-8,0.775,fs_control,Low,High
F12,8.2526e-8,0.775,snv_control,Low,High
F13A1,5.2851e-8,0.739,fs_control,Low,High
F13A1,5.2851e-8,0.739,snv,Low,High
F2,0.0011118,0.536,fs_control,Low,Medium
F2,0.0011118,0.536,snv,Low,Medium
F5,5.919e-15,0.562,snv_control,Low,Medium
FAM111B,0.098549,1.879,snv_control,Low,High
FAR1,0.98504,0.299,snv_control,High,Medium
FASLG,0.18345,0.716,fs_control,Low,High
FAT2,6.023e-18,0.507,snv_control,Low,Medium
FBLN1,0.91878,0.338,snv_control,High,Medium
FBLN5,0.9997,0.172,snv_control,High,Low
FBN1,1,0.049,fs,High,Low
FBN1,1,0.049,snv,High,Low
FBN2,1,0.205,fs_control,High,Medium
FBN2,1,0.205,snv_control,High,Medium
FBXO11,1,0.097,fs,High,Low
FBXO11,1,0.097,snv,High,Low
FBXW7,0.99949,0.232,snv,High,Medium
FGF12,0.62294,0.537,snv_control,Medium,Medium
FGF14,0.90887,0.392,snv_control,High,Medium
FGF8,0.67676,0.51,snv_control,High,Medium
FGFR1,0.99984,0.215,snv_control,High,Medium
FGFR2,0.99731,0.27,snv_control,High,Medium
FH,0.08824,0.544,fs,Low,Medium
FH,0.08824,0.544,snv,Low,Medium
FHOD3,0.066509,0.374,snv_control,Low,Medium
FIG4,2.3423e-34,1.24,fs_control,Low,High
FIG4,2.3423e-34,1.24,snv_control,Low,High
FIGLA,0.0022269,1.316,snv_control,Low,High
FLCN,0.78892,0.388,snv,High,Medium
FLI1,0.9894,0.28,snv_control,High,Medium
FLNB,6.0505e-10,0.443,snv_control,Low,Medium
FLNB,6.0505e-10,0.443,fs_control,Low,Medium
FLNC,0.99994,0.25,snv,High,Medium
FLNC,0.99994,0.25,fs,High,Medium
FLT4,1,0.147,snv,High,Low
FLT4,1,0.147,fs_control,High,Low
FN1,0.0014045,0.338,snv_control,Low,Medium
FN1,0.0014045,0.338,fs_control,Low,Medium
FOXE1,0.79203,0.576,snv_control,High,Medium
FOXF1,0.95792,0.302,snv_control,High,Medium
FOXJ1,0.96901,0.278,snv_control,High,Medium
FOXN1,0.94214,0.349,fs,High,Medium
FOXN1,0.94214,0.349,snv_control,High,Medium
FOXP2,0.99994,0.219,snv_control,High,Medium
FTL,1.6617e-9,1.946,snv_control,Low,High
FUS,0.9993,0.237,fs,High,Medium
FUS,0.9993,0.237,snv,High,Medium
FZD5,0.98255,0.283,snv_control,High,Medium
GABBR2,0.99999,0.167,fs_control,High,Low
GABBR2,0.99999,0.167,snv_control,High,Low
GABRA1,0.91489,0.367,snv_control,High,Medium
GABRA2,0.99598,0.229,snv_control,High,Medium
GABRA5,0.90535,0.372,snv_control,High,Medium
GABRB1,0.98116,0.306,snv_control,High,Medium
GABRB2,0.84876,0.385,snv_control,High,Medium
GABRB3,0.95138,0.341,snv_control,High,Medium
GABRD,0.99345,0.245,snv_control,High,Medium
GABRG2,0.73852,0.399,snv,High,Medium
GAL,4.3885e-6,1.75,snv_control,Low,High
GANAB,0.99873,0.267,snv_control,High,Medium
GATA2,0.97927,0.292,fs,High,Medium
GATA5,0.28478,0.629,snv_control,Low,High
GATA6,0.99709,0.174,snv_control,High,Low
GATA6,0.99709,0.174,fs_control,High,Low
GATAD2B,0.99998,0.097,fs_control,High,Low
GATM,0.051418,0.534,snv_control,Low,Medium
GCH1,0.90292,0.398,snv,High,Medium
GCK,0.63464,0.443,fs,Medium,Medium
GCK,0.63464,0.443,snv,Medium,Medium
GDF11,0.97645,0.298,snv_control,High,Medium
GFAP,1.4601e-6,1.026,snv_control,Low,High
GH1,0.030057,0.914,snv_control,Low,High
GHSR,0.0065825,1.012,snv_control,Low,High
GJA5,0.017871,0.813,snv_control,Low,High
GJB3,0.0021767,1.323,snv_control,Low,High
GLI2,0.97303,0.309,snv,High,Medium
GLI2,0.97303,0.309,fs,High,Medium
GLMN,1.1537e-12,0.906,fs_control,Low,High
GLMN,1.1537e-12,0.906,snv,Low,High
GLRA1,1.5816e-4,0.762,fs_control,Low,High
GLS,0.96154,0.323,fs_control,High,Medium
