"hgnc_symbol","ensembl_transcript_id","group","gc_content","nmdesc_gc_content"
"F13A1","ENST00000264870","snv",49.48,54.9
"MED13L","ENST00000281928","snv",49.6,50.82
"SERPING1","ENST00000278407","snv",53.43,54.93
"TGFBR2","ENST00000295754","snv",52.41,57.83
"KAT6A","ENST00000265713","snv",49.31,54.18
"SHH","ENST00000297261","snv",67.31,72.29
"LRP5","ENST00000294304","snv",63.59,63.14
"TP63","ENST00000264731","snv",52.47,55.04
"NIPBL","ENST00000282516","snv",39.77,46.15
"MN1","ENST00000302326","snv",68.38,60.78
"ALG8","ENST00000299626","snv",42.38,39.36
"ANK1","ENST00000289734","snv",58.46,61.74
"FLCN","ENST00000285071","snv",59.66,55.56
"RHO","ENST00000296271","snv",57.78,57.76
"POGZ","ENST00000271715","snv",51.1,52.31
"ZIC1","ENST00000282928","snv",63.69,59.27
"RASA1","ENST00000274376","snv",43.96,41.04
"LRSAM1","ENST00000300417","snv",56.49,65.34
"DCHS1","ENST00000299441","snv",61.41,61.38
"TP53","ENST00000269305","snv",56.85,56.06
"SPRED1","ENST00000299084","snv",43.3,42.37
"COL3A1","ENST00000304636","snv",56.87,43.65
"KAT6B","ENST00000287239","snv",48.25,51.65
"CYP11B1","ENST00000292427","snv",59.99,55.49
"LEMD3","ENST00000308330","snv",52.08,41.59
"RARB","ENST00000330688","snv",47.74,45.75
"CLCN1","ENST00000343257","snv",55.81,62.32
"TCF12","ENST00000333725","snv",46.53,49.74
"NR2F1","ENST00000327111","snv",65.17,58.91
"EYA1","ENST00000340726","snv",46.94,50.38
"F2","ENST00000311907","snv",59.12,51.03
"RORA","ENST00000335670","snv",47.58,38.6
"NKX2-1","ENST00000354822","snv",70.73,71.37
"TLK2","ENST00000346027","snv",43.72,50.89
"HNF4A","ENST00000316099","snv",59.86,64.25
"TRPC6","ENST00000344327","snv",43.85,39.6
"MITF","ENST00000352241","snv",50.79,51.55
"SCNN1B","ENST00000343070","snv",56.63,60.56
"DNMT3A","ENST00000321117","snv",60.2,52.08
"PKLR","ENST00000342741","snv",60.99,55.41
"FBN1","ENST00000316623","snv",48.92,41.14
"ARID2","ENST00000334344","snv",44.06,35.38
"SUZ12","ENST00000322652","snv",42.48,35.86
"ARID1A","ENST00000324856","snv",59.83,54.37
"NPR2","ENST00000342694","snv",54.52,50.86
"EVC2","ENST00000344408","snv",54.93,46.86
"SLCO2A1","ENST00000310926","snv",56.37,59.52
"PLEC","ENST00000345136","snv",66.91,65.88
"KMT2E","ENST00000311117","snv",43.55,50.29
"GRIN2A","ENST00000330684","snv",52.26,50.76
"WAC","ENST00000354911","snv",44.08,34.17
"FLNC","ENST00000325888","snv",62.17,56.3
"SLC5A2","ENST00000330498","snv",62.8,63.18
"ANO5","ENST00000324559","snv",40.19,36.03
"KLHL3","ENST00000309755","snv",53.29,54.43
"SPAST","ENST00000315285","snv",47.76,39.31
"SATB1","ENST00000338745","snv",49.39,51.87
"SLC12A6","ENST00000354181","snv",47.87,49.3
"NUS1","ENST00000368494","snv",53.85,46.81
"CRB1","ENST00000367400","snv",45.34,53.76
"KIF21A","ENST00000361418","snv",42.19,42.36
"TRPS1","ENST00000395715","snv",47.26,45.41
"KCNQ2","ENST00000359125","snv",64.87,68.41
"EPHB4","ENST00000358173","snv",62.48,62.78
"COL5A1","ENST00000371817","snv",64.38,54.31
"MYO6","ENST00000369977","snv",41.08,52.8
"ABCA1","ENST00000374736","snv",50.12,40.31
"GLI2","ENST00000361492","snv",66.45,68.78
"NR3C2","ENST00000358102","snv",47.01,58.25
"TGFB2","ENST00000366930","snv",47.79,42.58
"HIVEP2","ENST00000367603","snv",49.19,51.43
"GNAS","ENST00000371085","snv",55.11,55.33
"ENG","ENST00000373203","snv",61.41,67.43
"COL2A1","ENST00000380518","snv",63.4,54.82
"SMARCD1","ENST00000394963","snv",53.62,53.85
"RELA","ENST00000406246","snv",60.99,62.85
"PRRT2","ENST00000358758","snv",62.46,54.1
"SYNE1","ENST00000367255","snv",46.73,58.08
"PPOX","ENST00000367999","snv",59.27,52.33
"ABCC8","ENST00000389817","snv",57.67,57.98
"TEK","ENST00000380036","snv",47.79,43.2
"ACVRL1","ENST00000388922","snv",61.31,55.68
"FBXO11","ENST00000403359","snv",42.03,40
"ZNF292","ENST00000369577","snv",38.69,37.89
"GCK","ENST00000403799","snv",61.3,65.64
"ROR2","ENST00000375708","snv",61.37,62.63
"CYP19A1","ENST00000396402","snv",45.04,44.15
"TBX5","ENST00000405440","snv",55.56,59.68
"ADGRV1","ENST00000405460","snv",42.57,50.89
"BMPR1A","ENST00000372037","snv",44.28,44.89
"IRF6","ENST00000367021","snv",53.92,53.09
"ABCA4","ENST00000370225","snv",52.58,62.5
"PROS1","ENST00000394236","snv",40.92,40.28
"GLMN","ENST00000370360","snv",35.24,37.72
"LGI1","ENST00000371418","snv",39.96,39.62
"KRIT1","ENST00000394505","snv",38.22,35.29
"SERPINC1","ENST00000367698","snv",49.89,46.26
"FH","ENST00000366560","snv",45.99,43.52
"EXT1","ENST00000378204","snv",49.71,50.85
"C1S","ENST00000360817","snv",48.43,52.07
"MTHFR","ENST00000376590","snv",57.74,56.13
"MYO7A","ENST00000409709","snv",59,57.14
"CPT2","ENST00000371486","snv",52.81,53.14
"CSF3R","ENST00000373106","snv",61.93,63.72
"BRCA1","ENST00000357654","snv",41.22,56
"RP1L1","ENST00000382483","snv",62.83,62.95
"ALPL","ENST00000374840","snv",59.49,65.82
"CFH","ENST00000367429","snv",39.83,39.53
"PTEN","ENST00000371953","snv",38.45,38.14
"STXBP1","ENST00000373299","snv",52.94,48.87
"DSP","ENST00000379802","snv",48.33,48.43
"COL4A3","ENST00000396578","snv",56.29,39.26
"ATP1A2","ENST00000361216","snv",57.07,53.16
"ADAR","ENST00000368474","snv",51.15,49.31
"CNNM2","ENST00000369878","snv",57.15,51.15
"SOX10","ENST00000396884","snv",66.67,64.72
"GCH1","ENST00000491895","snv",56.97,50.85
"PIK3R1","ENST00000521381","snv",41.98,49.58
"BAP1","ENST00000460680","snv",58.45,61.41
"WT1","ENST00000452863","snv",61.7,50.58
"SCN5A","ENST00000423572","snv",57.31,58
"CDKN1C","ENST00000440480","snv",75.93,67.96
"PDE6B","ENST00000496514","snv",57.58,55.36
"PUF60","ENST00000526683","snv",60.71,54.86
"PPP2CA","ENST00000481195","snv",44.84,47.15
"SH3TC2","ENST00000515425","snv",55.06,61.98
"SLC2A1","ENST00000426263","snv",58.89,53.39
"MBD4","ENST00000429544","snv",41.62,35.16
"NSD1","ENST00000439151","snv",47.25,55.24
"PUF60","ENST00000620341","snv",60.71,54.86
"PRKAR1A","ENST00000589228","snv",47.12,46.64
"GRIN2B","ENST00000609686","snv",54.1,58.47
"ZEB2","ENST00000627532","snv",46.47,52.39
"SEMA6B","ENST00000586582","snv",68.95,77.63
"CDKN1C","ENST00000616138","snv",75.6,67.96
"KCNQ1","ENST00000632153","snv",62.81,68.99
"KCNQ2","ENST00000627948","snv",61.66,67.15
"CELF2","ENST00000633077","snv",52.81,44.94
"PTEN","ENST00000644628","snv",47.66,38.14
"PKLR","ENST00000572740","snv",60.99,55.41
"CASR","ENST00000639785","snv",54.34,57.23
"GABRG2","ENST00000639213","snv",44.33,45.4
"RDH12","ENST00000551171","snv",56.89,57.52
"OPLAH","ENST00000618853","snv",66.67,71.07
"PRPF8","ENST00000634039","snv",52.21,55.12
"DNM1L","ENST00000549701","snv",42.42,45.79
"KAT6B","ENST00000630001","snv",48.25,51.65
"MYH9","ENST00000216181","fs",59.19,65.96
"MLH1","ENST00000231790","fs",46.46,48.3
"SETX","ENST00000224140","fs",40.85,42.5
"WFS1","ENST00000226760","fs",62.48,61.31
"APOB","ENST00000233242","fs",43.33,40.81
"PRPH2","ENST00000230381","fs",55.81,60.18
"SOX9","ENST00000245479","fs",67.78,69.92
"CFTR","ENST00000003084","fs",41.53,50.24
"CXCR4","ENST00000241393","fs",50.33,51.22
"MSH6","ENST00000234420","fs",44.89,40.69
"RP1","ENST00000220676","fs",39.5,37.03
"TMEM127","ENST00000258439","fs",61.79,55.67
"NOTCH2","ENST00000256646","fs",53.74,55.78
"KIDINS220","ENST00000256707","fs",45.39,47.27
"PKD1","ENST00000262304","fs",67.24,66.67
"VHL","ENST00000256474","fs",61.53,53.26
"FUS","ENST00000254108","fs",57.43,53.61
"DAGLA","ENST00000257215","fs",62.83,67.75
"BARD1","ENST00000260947","fs",43.92,47.06
"PALB2","ENST00000261584","fs",42.63,52.91
"DVL3","ENST00000313143","fs",61.41,70.53
"NIPBL","ENST00000282516","fs",39.77,46.44
"CREBBP","ENST00000262367","fs",56.88,65.66
"ELANE","ENST00000263621","fs",67.54,66.82
"KAT6B","ENST00000287239","fs",48.25,51.68
"NOTCH3","ENST00000263388","fs",66.42,69.38
"KMT2E","ENST00000311117","fs",43.55,46.57
"SERPING1","ENST00000278407","fs",53.43,53.82
"PPM1D","ENST00000305921","fs",51.21,43.66
"MN1","ENST00000302326","fs",68.38,62.6
"POLG","ENST00000268124","fs",60.43,48.24
"LRSAM1","ENST00000300417","fs",56.49,55.72
"PMP22","ENST00000312280","fs",54.24,50.26
"EP300","ENST00000263253","fs",51.55,58.15
"KAT6A","ENST00000265713","fs",49.31,54.03
"PIEZO1","ENST00000301015","fs",63.89,61.65
"PLEC","ENST00000345136","fs",66.91,65.79
"GRIN2A","ENST00000330684","fs",52.26,51.29
"TRPC6","ENST00000344327","fs",43.85,40
"EYA1","ENST00000340726","fs",46.94,44.9
"ARID1A","ENST00000324856","fs",59.83,54.53
"FLNC","ENST00000325888","fs",62.17,60.67
"BCL11B","ENST00000357195","fs",68.79,69.21
"GATA2","ENST00000341105","fs",64.8,57.52
"FBN1","ENST00000316623","fs",48.92,42.83
"BRCA1","ENST00000357654","fs",41.22,53.22
"TRPS1","ENST00000395715","fs",47.26,45.86
"PPP3CA","ENST00000394854","fs",44.57,52.23
"KCNQ2","ENST00000359125","fs",64.87,68.34
"CAPN3","ENST00000397163","fs",52.64,47.37
"COL5A1","ENST00000371817","fs",64.38,66.06
"TBR1","ENST00000389554","fs",61.05,70.27
"CRB1","ENST00000367400","fs",45.34,50.21
"COL2A1","ENST00000380518","fs",63.4,55.9
"ZNF292","ENST00000369577","fs",38.69,37.8
"GCK","ENST00000403799","fs",61.3,65.76
"EFTUD2","ENST00000426333","fs",51.8,56.93
"SOX10","ENST00000396884","fs",66.67,66.13
"DSP","ENST00000379802","fs",48.33,48.07
"MYO6","ENST00000369977","fs",41.08,47.71
"TEK","ENST00000380036","fs",47.79,43.52
"FH","ENST00000366560","fs",45.99,43.49
"FBXO11","ENST00000403359","fs",42.03,40.68
"GLI2","ENST00000361492","fs",66.45,68.79
"SCN4A","ENST00000435607","fs",57.54,57.58
"SCN5A","ENST00000423572","fs",57.31,56.98
"RDH12","ENST00000551171","fs",56.89,62.16
"GRIN2B","ENST00000609686","fs",54.1,58.7
"FOXN1","ENST00000579795","fs",62.76,64.8
"SEMA6B","ENST00000586582","fs",68.95,73.34
"CDKN1C","ENST00000440480","fs",75.93,77.05
"CASR","ENST00000639785","fs",54.34,57.79
"HNRNPU","ENST00000640218","fs",50.36,42.57
"GRN","ENST00000053867","snv_control",63.19,67.55
"RALA","ENST00000005257","snv_control",42.03,34.1
"CRY1","ENST00000008527","snv_control",45.14,48.7
"ACTL6B","ENST00000160382","snv_control",59.48,60.31
"KIF22","ENST00000160827","snv_control",58.56,63.27
"CREB3L3","ENST00000078445","snv_control",60.75,65.38
"TLL1","ENST00000061240","snv_control",44.41,37.84
"SLC7A9","ENST00000023064","snv_control",53.01,46.96
"TNFRSF1A","ENST00000162749","snv_control",58.41,69.25
"NTN1","ENST00000173229","snv_control",65.95,59.37
"IMPG2","ENST00000193391","snv_control",44.9,42.86
"CDK13","ENST00000181839","snv_control",52.19,49.28
"KDM4B","ENST00000159111","snv_control",63.96,71.37
"KRT14","ENST00000167586","snv_control",60.89,58.78
"GNA11","ENST00000078429","snv_control",60.09,58.92
"CRYBB3","ENST00000215855","snv_control",61.01,65.74
"SPTLC2","ENST00000216484","snv_control",48.02,46.47
"VCL","ENST00000211998","snv_control",52.36,52.79
"ACO2","ENST00000216254","snv_control",57.32,56.76
"TGM6","ENST00000202625","snv_control",59.41,60.29
"ESR1","ENST00000206249","snv_control",57.21,58.95
"SRP54","ENST00000216774","snv_control",39.08,44.37
"OAS1","ENST00000202917","snv_control",52.87,52.09
"SOS2","ENST00000216373","snv_control",40.11,49.64
"SUPT16H","ENST00000216297","snv_control",43.64,51.53
"CETP","ENST00000200676","snv_control",54.66,53.6
"EIF2AK1","ENST00000199389","snv_control",46.96,44.13
"EEF1A2","ENST00000217182","snv_control",62.07,65.73
"SALL4","ENST00000217086","snv_control",56.99,52.13
"NFKBIA","ENST00000216797","snv_control",59.12,52.04
"SERPIND1","ENST00000215727","snv_control",49.53,57.44
"ALG5","ENST00000239891","snv_control",43.18,38.55
"HRG","ENST00000232003","snv_control",49.37,51.3
"CSNK2A1","ENST00000217244","snv_control",45.32,60.24
"SLC25A11","ENST00000225665","snv_control",59.05,56.31
"HOXA2","ENST00000222718","snv_control",54.82,52.03
"NFKB1","ENST00000226574","snv_control",48.87,54.5
"TSPAN12","ENST00000222747","snv_control",44.12,45.22
"PKD2","ENST00000237596","snv_control",51.7,54.01
"TTR","ENST00000237014","snv_control",54.28,57.59
"FIG4","ENST00000230124","snv_control",43.36,48.68
"PDYN","ENST00000217305","snv_control",57.12,55.83
"SETX","ENST00000224140","snv_control",40.85,53.7
"GUCA1B","ENST00000230361","snv_control",54.89,55.06
"POLR3B","ENST00000228347","snv_control",43.97,48.89
"C5","ENST00000223642","snv_control",40.05,35
"ACTA2","ENST00000224784","snv_control",53,54.12
"SNTA1","ENST00000217381","snv_control",64.23,56.64
"SCNN1A","ENST00000228916","snv_control",58.66,63.11
"COMP","ENST00000222271","snv_control",64.03,56.7
"LAMA4","ENST00000230538","snv_control",47.15,54.08
"CNOT2","ENST00000229195","snv_control",43.93,44.53
"GNB4","ENST00000232564","snv_control",44.48,45.86
"KCNJ13","ENST00000233826","snv_control",45.43,44.28
"NPRL2","ENST00000232501","snv_control",54.16,51.69
"CRYBA1","ENST00000225387","snv_control",51.39,48.48
"KISS1R","ENST00000234371","snv_control",72.35,76.03
"LOX","ENST00000231004","snv_control",58.69,47.37
"MYL2","ENST00000228841","snv_control",50.5,56.38
"TGFB1","ENST00000221930","snv_control",62.49,66.51
"GMNN","ENST00000230056","snv_control",39.84,40.57
"PIK3R2","ENST00000222254","snv_control",65.75,70.54
"MAPK8IP1","ENST00000241014","snv_control",63.44,52.85
"NR0B2","ENST00000254227","snv_control",62.92,60.27
"KIDINS220","ENST00000256707","snv_control",45.39,47.22
"TRPM4","ENST00000252826","snv_control",63.51,69.09
"F12","ENST00000253496","snv_control",65.8,65.6
"VPS4A","ENST00000254950","snv_control",55.78,53.95
"C3","ENST00000245907","snv_control",56.41,57.29
"MSTO1","ENST00000245564","snv_control",57.15,60
"RAC2","ENST00000249071","snv_control",60.79,64.64
"SLC52A1","ENST00000254853","snv_control",62.51,61.98
"RHOBTB2","ENST00000251822","snv_control",59.48,58.58
"UBA2","ENST00000246548","snv_control",44.25,43.1
"DNASE1","ENST00000246949","snv_control",59.01,55.1
"CHRND","ENST00000258385","snv_control",58.69,56.22
"HCN2","ENST00000251287","snv_control",69.59,77.4
"PMP2","ENST00000256103","snv_control",43.11,43.56
"GDF11","ENST00000257868","snv_control",63.4,56.84
"WNK4","ENST00000246914","snv_control",61.84,62.26
"KLHL24","ENST00000242810","snv_control",42.54,43.03
"CDK4","ENST00000257904","snv_control",54.06,51.05
"MYOT","ENST00000239926","snv_control",43.82,40.36
"LRP1","ENST00000243077","snv_control",60.07,62.83
"TTC21B","ENST00000243344","snv_control",39.74,35.94
"TAF4","ENST00000252996","snv_control",66.88,55.96
"PRPH","ENST00000257860","snv_control",65.68,56.03
"KCNA5","ENST00000252321","snv_control",65.09,65.09
"SEC61A1","ENST00000243253","snv_control",51.22,58.65
"OPN1SW","ENST00000249389","snv_control",53.95,47.06
"HBA2","ENST00000251595","snv_control",64.8,63.13
"MYH2","ENST00000245503","snv_control",50.05,48.77
"ATXN10","ENST00000252934","snv_control",46.29,45.28
"TFG","ENST00000240851","snv_control",46.22,53.12
"TICAM1","ENST00000248244","snv_control",63.86,63.86
"JAG1","ENST00000254958","snv_control",53.95,51.77
"TBX2","ENST00000240328","snv_control",68.96,68.59
"TUBA4A","ENST00000248437","snv_control",56.87,57.63
"ANO3","ENST00000256737","snv_control",41.92,42.49
"HOXD10","ENST00000249501","snv_control",51.91,49.7
"TARDBP","ENST00000240185","snv_control",47.07,48.71
"GHSR","ENST00000241256","snv_control",59.49,50.14
"COPA","ENST00000241704","snv_control",49.09,48.18
"RRM2B","ENST00000251810","snv_control",41.48,34.98
"SLC12A5","ENST00000243964","snv_control",57.62,59.86
"MRAP2","ENST00000257776","snv_control",46.44,48.98
"BACH2","ENST00000257749","snv_control",56.57,54.78
"ELN","ENST00000252034","snv_control",64.32,57.45
"GATA5","ENST00000252997","snv_control",70.35,69.42
"DLL4","ENST00000249749","snv_control",60.79,42.86
"SMARCC1","ENST00000254480","snv_control",48.76,64.86
"NALCN","ENST00000251127","snv_control",45.97,52.87
"TUBG1","ENST00000251413","snv_control",58.04,58.06
"SEPTIN12","ENST00000268231","snv_control",59.7,59.13
"AFF4","ENST00000265343","snv_control",46.25,45.51
"PRKCG","ENST00000263431","snv_control",60.08,66.11
"MARS1","ENST00000262027","snv_control",53.79,48.22
"EVC","ENST00000264956","snv_control",59.08,51.85
"DNAJB11","ENST00000265028","snv_control",46.43,40
"FBN2","ENST00000262464","snv_control",49.59,51.29
"PDE8B","ENST00000264917","snv_control",51.2,43.12
"MCM6","ENST00000264156","snv_control",46.19,39.52
"VCAN","ENST00000265077","snv_control",43.33,41.57
"GRIA2","ENST00000264426","snv_control",43.93,46.62
"FAT2","ENST00000261800","snv_control",52.59,62.61
"HS6ST1","ENST00000259241","snv_control",66.59,65.22
"GABBR2","ENST00000259455","snv_control",55.2,61.11
"MAP2K2","ENST00000262948","snv_control",61.51,59.63
"TRPV4","ENST00000261740","snv_control",59.48,63.94
"RAD51","ENST00000267868","snv_control",47.75,45.4
"PDE6H","ENST00000266395","snv_control",50,47.24
"CTCF","ENST00000264010","snv_control",49.08,54.89
"TIMP3","ENST00000266085","snv_control",58.49,55.65
"GUCY2C","ENST00000261170","snv_control",44.69,45.33
"MIB1","ENST00000261537","snv_control",46.01,42.41
"CHMP2B","ENST00000263780","snv_control",38.79,40.37
"WBP11","ENST00000261167","snv_control",50.26,54.96
"CHD5","ENST00000262450","snv_control",59.32,55.17
"EPAS1","ENST00000263734","snv_control",57.25,62.87
"GNAO1","ENST00000262493","snv_control",52.49,48.74
"HCN4","ENST00000261917","snv_control",65.67,68.8
"TUBB2B","ENST00000259818","snv_control",60.99,62.56
"ARCN1","ENST00000264028","snv_control",44.4,41.43
"TNPO3","ENST00000265388","snv_control",47.33,45.95
"KDR","ENST00000263923","snv_control",47.14,50.18
"WDR37","ENST00000263150","snv_control",53.8,54.95
"WDR11","ENST00000263461","snv_control",45.2,46.15
"HDC","ENST00000267845","snv_control",54,52.2
"TCF3","ENST00000262965","snv_control",67.23,59.59
"MCM2","ENST00000265056","snv_control",59.12,49.07
"GAL","ENST00000265643","snv_control",61.02,56.2
"SEMA3A","ENST00000265362","snv_control",43.83,45.45
"IRF8","ENST00000268638","snv_control",58.24,54.63
"SIX3","ENST00000260653","snv_control",67.97,69.55
"RLBP1","ENST00000268125","snv_control",56.81,55.98
"CLCN2","ENST00000265593","snv_control",59.51,60.82
"SRSF1","ENST00000258962","snv_control",55.15,48.98
"TNFRSF13B","ENST00000261652","snv_control",61.68,66.11
"MCOLN1","ENST00000264079","snv_control",60.47,66.67
"PRPF6","ENST00000266079","snv_control",57.01,60.1
"PDGFRB","ENST00000261799","snv_control",58.27,64.53
"ARFGEF1","ENST00000262215","snv_control",40.27,34.42
"SLC12A2","ENST00000262461","snv_control",46.58,40.86
"THSD1","ENST00000258613","snv_control",53.77,57.1
"LMNB1","ENST00000261366","snv_control",50.71,46.74
"SCN1B","ENST00000262631","snv_control",56.47,57.26
"SPTLC1","ENST00000262554","snv_control",44.59,56.94
"SYT1","ENST00000261205","snv_control",45.55,51.75
"MMP13","ENST00000260302","snv_control",44.77,38.41
"AAGAB","ENST00000261880","snv_control",45.25,48.44
"CBL","ENST00000264033","snv_control",50.97,53.12
"GRIN2D","ENST00000263269","snv_control",70.51,79.54
"POLG","ENST00000268124","snv_control",60.43,50.39
"FOXF1","ENST00000262426","snv_control",68.33,59.72
"VWF","ENST00000261405","snv_control",58.48,54.81
"CUL3","ENST00000264414","snv_control",39.45,39.56
"RB1","ENST00000267163","snv_control",39,39.52
"TRPA1","ENST00000262209","snv_control",40.45,38.7
"SLC1A3","ENST00000265113","snv_control",48.68,49.8
"KLF1","ENST00000264834","snv_control",70.25,64.6
"ITGA2B","ENST00000262407","snv_control",61.44,60.91
"PITPNM3","ENST00000262483","snv_control",62.77,67.98
"DHTKD1","ENST00000263035","snv_control",52.39,55.92
"KMT2C","ENST00000262189","snv_control",45.97,45.45
"POLR1A","ENST00000263857","snv_control",53.67,56.95
"KIF11","ENST00000260731","snv_control",38.19,41.76
"AARS1","ENST00000261772","snv_control",53.22,59.32
"CDH11","ENST00000268603","snv_control",50.82,48.81
"SREBF1","ENST00000261646","snv_control",65.24,72.86
"C9","ENST00000263408","snv_control",41.19,37.65
"CUX2","ENST00000261726","snv_control",63.37,61.62
"SMAD2","ENST00000262160","snv_control",44.52,45.4
"STAT3","ENST00000264657","snv_control",51.19,53.77
"CSRP3","ENST00000265968","snv_control",52.99,42.52
"SETD1A","ENST00000262519","snv_control",62.65,54.91
"SDHA","ENST00000264932","snv_control",55.69,55.47
"NOVA2","ENST00000263257","snv_control",68.56,70.87
"HAL","ENST00000261208","snv_control",51.93,48.17
"DNAJB6","ENST00000262177","snv_control",50.05,59.4
"ABCB6","ENST00000265316","snv_control",58.28,57.23
"ANLN","ENST00000265748","snv_control",42.13,45.98
"PIKFYVE","ENST00000264380","snv_control",44.62,44.58
"EPCAM","ENST00000263735","snv_control",43.28,41.3
"TUBA3D","ENST00000321253","snv_control",57.87,59.37
"FLNB","ENST00000295956","snv_control",55.82,57.14
"GPD1L","ENST00000282541","snv_control",50.19,44.22
"FIGLA","ENST00000332372","snv_control",55.45,45.45
"TUBA8","ENST00000330423","snv_control",56.22,56.4
"MST1R","ENST00000296474","snv_control",59.81,60.46
"LBR","ENST00000272163","snv_control",44.1,45.02
"FBLN1","ENST00000327858","snv_control",59.75,56.84
"KAT5","ENST00000341318","snv_control",57.59,55.14
"ANTXR1","ENST00000303714","snv_control",52.86,65.59
"KCNH5","ENST00000322893","snv_control",46.11,48.8
"NEUROD1","ENST00000295108","snv_control",56.58,56.58
"INSR","ENST00000302850","snv_control",55.6,56.79
"LMBRD2","ENST00000296603","snv_control",38.36,38.74
"TUBB6","ENST00000317702","snv_control",61.89,62.39
"IKZF1","ENST00000331340","snv_control",57.82,63.03
"TRAF7","ENST00000326181","snv_control",60.26,56.92
"CDKN2A","ENST00000304494","snv_control",71.97,59.38
"CUX1","ENST00000292535","snv_control",60.09,73.72
"SRRM2","ENST00000301740","snv_control",55.61,63.33
"UBAP1","ENST00000297661","snv_control",47.91,43.46
"JARID2","ENST00000341776","snv_control",56.05,51.5
"LMNB2","ENST00000325327","snv_control",66.4,57.61
"REN","ENST00000272190","snv_control",54.38,56.13
"GABRA5","ENST00000335625","snv_control",50.97,44.86
"PEX6","ENST00000304611","snv_control",62.32,60.43
"DPYSL5","ENST00000288699","snv_control",57.4,58.82
"SF3B2","ENST00000322535","snv_control",56.1,50
"NEFH","ENST00000310624","snv_control",59.78,53.39
"SLC6A1","ENST00000287766","snv_control",56.56,60
"KCNMA1","ENST00000286628","snv_control",50.44,57.67
"RAD21","ENST00000297338","snv_control",43.2,42.15
"COL6A3","ENST00000295550","snv_control",54.38,46.15
"DHX37","ENST00000308736","snv_control",61.14,57.35
"KLHL7","ENST00000339077","snv_control",42.42,41.02
"PKP2","ENST00000340811","snv_control",53.34,47.06
"CAPRIN1","ENST00000341394","snv_control",49.01,58.26
"CLTC","ENST00000269122","snv_control",42.24,52
"COL12A1","ENST00000322507","snv_control",46.63,52.46
"PDE11A","ENST00000286063","snv_control",48.47,49.03
"PNKD","ENST00000273077","snv_control",62.44,65.62
"HESX1","ENST00000295934","snv_control",42.29,36.24
"CD164","ENST00000310786","snv_control",49.66,41.94
"TNNI3K","ENST00000326637","snv_control",43.34,41.73
"WNK1","ENST00000315939","snv_control",50.19,55.98
"HPD","ENST00000289004","snv_control",54.57,58.39
"DNAAF4","ENST00000321149","snv_control",38.64,36.88
"SLC2A2","ENST00000314251","snv_control",44.38,43.43
"PRKD1","ENST00000331968","snv_control",48.7,52.42
"PCSK9","ENST00000302118","snv_control",65.56,66.54
"EDN3","ENST00000337938","snv_control",60.95,54.19
"TUBB2A","ENST00000333628","snv_control",61.51,62.56
"PRDX3","ENST00000298510","snv_control",47.99,48.08
