"hgnc_symbol","ensembl_transcript_id","cds_length"
"CRYBB1","ENST00000647684",759
"CRYBB3","ENST00000215855",636
"CRYM","ENST00000572914",945
"CSNK2A1","ENST00000217244",1176
"CST3","ENST00000376925",441
"CTCF","ENST00000264010",2184
"CUX2","ENST00000261726",4461
"DDX6","ENST00000534980",1452
"DEPDC5","ENST00000651528",4812
"DICER1","ENST00000343455",5769
"DLX4","ENST00000240306",723
"DLX5","ENST00000648378",870
"DMPK","ENST00000291270",1890
"DMXL2","ENST00000560891",9177
"DNAJB6","ENST00000262177",981
"DNAJC5","ENST00000360864",597
"DNM1","ENST00000372923",2595
"DVL1","ENST00000378888",2088
"DYRK1B","ENST00000631090",1890
"EBF3","ENST00000440978",1890
"EEF1A2","ENST00000217182",1392
"EFEMP1","ENST00000355426",1482
"EFTUD2","ENST00000426333",2919
"EHHADH","ENST00000231887",2172
"EIF4G1","ENST00000346169",4800
"ELP4","ENST00000640961",1275
"ENG","ENST00000373203",1977
"EP300","ENST00000263253",7245
"ERF","ENST00000222329",1647
"EYA1","ENST00000340726",1779
"EYA4","ENST00000355286",1920
"EZH2","ENST00000320356",2256
"FBXW7","ENST00000281708",2124
"FGF12","ENST00000445105",546
"FGF14","ENST00000376143",744
"FGF8","ENST00000320185",735
"FGF9","ENST00000382353",627
"FIG4","ENST00000230124",2724
"FN1","ENST00000354785",7434
"FOXF1","ENST00000262426",1140
"FOXN1","ENST00000579795",1947
"FOXP1","ENST00000649528",2034
"FZR1","ENST00000441788",1482
"GABRG2","ENST00000639213",1428
"GARS1","ENST00000389266",2220
"GATA3","ENST00000379328",1335
"GBF1","ENST00000369983",5583
"GCK","ENST00000403799",1398
"GCNT2","ENST00000642698",1209
"GDAP1","ENST00000220822",1077
"GHR","ENST00000230882",1917
"GLI3","ENST00000395925",4743
"GMNN","ENST00000230056",630
"GNAI2","ENST00000313601",1068
"GNAT1","ENST00000232461",1053
"GNB4","ENST00000232564",1023
"GPD2","ENST00000438166",2184
"GRIN2D","ENST00000263269",4011
"GSDME","ENST00000645220",1491
"GUCA1B","ENST00000230361",603
"HCK","ENST00000375852",1581
"HNF4A","ENST00000316673",1359
"HOMER2","ENST00000450735",1032
"HOXA13","ENST00000649031",1167
"HOXA2","ENST00000222718",1131
"HRG","ENST00000232003",1578
"HSF4","ENST00000521374",1479
"HSPA9","ENST00000297185",2040
"HSPB1","ENST00000248553",618
"HTR2A","ENST00000542664",1416
"IFIH1","ENST00000649979",3078
"IFNG","ENST00000229135",501
"IKBKB","ENST00000520810",2271
"IMPDH1","ENST00000338791",1800
"IMPG1","ENST00000369950",2394
"JAG1","ENST00000254958",3657
"JPH1","ENST00000342232",1986
"KAT8","ENST00000219797",1377
"KCNA1","ENST00000382545",1488
"KCNN4","ENST00000648319",1284
"KCNT1","ENST00000371757",3708
"KCTD17","ENST00000403888",945
"KIF3B","ENST00000375712",2244
"KLF1","ENST00000264834",1089
"KLHL24","ENST00000242810",1803
"KMT5B","ENST00000304363",2658
"KNG1","ENST00000644859",1935
"KPNA3","ENST00000261667",1566
"LAMA4","ENST00000230538",5472
"LGI1","ENST00000371418",1674
"LIM2","ENST00000596399",522
"LMAN2L","ENST00000264963",1047
"LMBR1","ENST00000353442",1473
"LMNB1","ENST00000261366",1761
"LOX","ENST00000231004",1254
"MAPK1","ENST00000215832",1083
"MAPKAPK3","ENST00000621469",1149
"MAST1","ENST00000251472",4713
"MED13","ENST00000397786",6525
"MEFV","ENST00000219596",2346
"MET","ENST00000397752",4173
"MIB1","ENST00000261537",3021
"MIEF1","ENST00000325301",1392
"MINPP1","ENST00000371996",1464
"MVK","ENST00000228510",1191
"MYH14","ENST00000642316",6111
"MYH3","ENST00000583535",5823
"MYH9","ENST00000216181",5883
"MYL2","ENST00000228841",501
"MYLK2","ENST00000375985",1791
"NAGLU","ENST00000225927",2232
"NALCN","ENST00000251127",5217
"NEFH","ENST00000310624",3063
"NFKB1","ENST00000226574",2910
"NFKBIA","ENST00000216797",954
"NHERF1","ENST00000262613",1077
"NOBOX","ENST00000643277",2073
"NOP56","ENST00000329276",1785
"NOVA2","ENST00000263257",1479
"NPRL2","ENST00000232501",1143
"NPRL3","ENST00000611875",1710
"NR3C1","ENST00000394464",2334
"NSD2","ENST00000508803",4098
"PABPN1","ENST00000216727",921
"PANX1","ENST00000227638",1281
"PAX4","ENST00000639438",1056
"PDCD10","ENST00000392750",639
"PDE10A","ENST00000539869",3168
"PDE4D","ENST00000340635",2430
"PDE8B","ENST00000264917",2658
"PDGFB","ENST00000331163",726
"PDGFRB","ENST00000261799",3321
"PDYN","ENST00000217305",765
"PERP","ENST00000421351",582
"PHACTR1","ENST00000332995",1743
"PHOX2B","ENST00000226382",945
"PIEZO1","ENST00000301015",7566
"PIK3R2","ENST00000222254",2187
"PIKFYVE","ENST00000264380",6297
"PITX3","ENST00000370002",909
"PLCB4","ENST00000378473",3621
"PLD3","ENST00000409735",1473
"PMP22","ENST00000312280",483
"POFUT1","ENST00000375749",1167
"POMC","ENST00000395826",804
"POU6F2","ENST00000518318",2163
"PPP1R17","ENST00000342032",468
"PPP2CA","ENST00000481195",930
"PPP2R1A","ENST00000322088",1770
"PPP2R5D","ENST00000485511",1809
"PRKAG2","ENST00000287878",1710
"PRKAR1A","ENST00000589228",1146
"PRLR","ENST00000618457",1869
"PRODH","ENST00000357068",1803
"PROKR2","ENST00000678254",1155
"PRPF31","ENST00000619956",1500
"PRPF6","ENST00000266079",2826
"PRPH2","ENST00000230381",1041
"PRX","ENST00000324001",4386
"RAI1","ENST00000353383",5721
"RAPGEF2","ENST00000691494",4983
"RETN","ENST00000221515",327
"RHAG","ENST00000371175",1230
"RIGI","ENST00000379883",2778
"RIPOR2","ENST00000643898",3144
"RNF125","ENST00000217740",699
"RNF43","ENST00000407977",2352
"RP1","ENST00000220676",6471
"RPS19","ENST00000598742",438
"SALL1","ENST00000251020",3975
"SALL4","ENST00000217086",3162
"SAMHD1","ENST00000646673",1881
"SASH1","ENST00000367467",3744
"SCN1B","ENST00000262631",657
"SCNN1A","ENST00000228916",2010
"SEC23A","ENST00000307712",2298
"SEC23B","ENST00000650089",2304
"SERPINE1","ENST00000223095",1209
"SETX","ENST00000224140",8034
"SHOC2","ENST00000369452",1749
"SLC17A9","ENST00000370351",1311
"SLC1A2","ENST00000278379",1725
"SLC25A11","ENST00000225665",945
"SLC26A8","ENST00000490799",2913
"SLC2A9","ENST00000264784",1623
"SLC32A1","ENST00000217420",1578
"SLC39A14","ENST00000381237",1479
"SLC4A3","ENST00000358055",3699
"SLC6A2","ENST00000568943",1854
"SLC6A4","ENST00000650711",1893
"SMARCB1","ENST00000629690",1185
"SMC3","ENST00000361804",3654
"SMCHD1","ENST00000320876",6018
"SNTA1","ENST00000217381",1518
"SOS2","ENST00000216373",3999
"SOX10","ENST00000396884",1401
"SOX6","ENST00000683767",2487
"SPECC1L","ENST00000314328",3354
"SPTBN1","ENST00000356805",7095
"SPTLC2","ENST00000216484",1689
"SRP54","ENST00000216774",1515
"SSBP1","ENST00000576834",403
"STAT1","ENST00000361099",2253
"STEAP3","ENST00000393110",1497
"STUB1","ENST00000219548",912
"SUFU","ENST00000369902",1455
"TBP","ENST00000392092",1020
"TBX18","ENST00000369663",1824
"TCF20","ENST00000574943",5883
"TECTA","ENST00000392793",6468
"TFG","ENST00000240851",1203
"TGFB1","ENST00000221930",1173
"TGFBR1","ENST00000374994",1512
"TIMELESS","ENST00000553532",3627
"TIMP3","ENST00000266085",636
"TMEM106B","ENST00000396668",825
"TNNC1","ENST00000232975",486
"TNNC2","ENST00000372555",483
"TNNT1","ENST00000588981",837
"TNPO2","ENST00000425528",2694
"TNRC6B","ENST00000454349",5502
"TOM1","ENST00000449058",1479
"TRPA1","ENST00000262209",3360
"TRPS1","ENST00000395715",3885
"TRPV4","ENST00000261740",2616
"TSC2","ENST00000219476",5424
"TSPAN12","ENST00000222747",918
"TUBB1","ENST00000217133",1356
"TUBB4A","ENST00000264071",1335
"TWNK","ENST00000311916",2055
"UBE3A","ENST00000648336",2619
"UBTF","ENST00000436088",2295
"UFSP2","ENST00000264689",1410
"UNC119","ENST00000335765",723
"VSX1","ENST00000376709",1098
"VWA8","ENST00000379310",5718
"VWF","ENST00000261405",8442
"WASF1","ENST00000392589",1680
"WFS1","ENST00000226760",2673
"WNT5A","ENST00000264634",1143
"YY1","ENST00000262238",1245
"ZMIZ1","ENST00000334512",3204
"ZNF423","ENST00000563137",3879
"ABCB6","ENST00000265316",2529
"ABCC11","ENST00000356608",4149
"ABCG2","ENST00000237612",1968
"ACTN4","ENST00000634960",2736
"ADGRE2","ENST00000315576",2472
"AGO2","ENST00000220592",2580
"AHDC1","ENST00000673934",4812
"AIPL1","ENST00000381129",1155
"AKAP9","ENST00000356239",11724
"AKT3","ENST00000621586",1440
"ALG5","ENST00000239891",975
"ANKRD17","ENST00000358602",7812
"ANO1","ENST00000355303",2961
"ANO3","ENST00000256737",2946
"ANXA11","ENST00000422982",1518
"APOA1","ENST00000236850",804
"APOE","ENST00000252486",954
"APOL2","ENST00000358502",1014
"ARID1A","ENST00000324856",6858
"ASH1L","ENST00000392403",8895
"ATXN1","ENST00000436367",2448
"ATXN10","ENST00000252934",1428
"BCL11A","ENST00000642384",2508
"BCL11B","ENST00000357195",2685
"BFSP1","ENST00000377873",1998
"BHLHE41","ENST00000242728",1449
"BICC1","ENST00000373886",2925
"BMP2","ENST00000378827",1191
"BMP4","ENST00000245451",1227
"C19orf12","ENST00000323670",426
"C3","ENST00000245907",4992
"CCND2","ENST00000261254",870
"CD46","ENST00000367042",1134
"CDC73","ENST00000367435",1596
"CDH15","ENST00000289746",2445
"CDK8","ENST00000381527",1395
"CDKN1C","ENST00000616138",951
"CFHR3","ENST00000367425",993
"CFHR5","ENST00000709541",1710
"CHD5","ENST00000262450",5865
"CHI3L1","ENST00000255409",1152
"CHN1","ENST00000409900",1380
"CHRNA2","ENST00000407991",1590
"CNOT1","ENST00000317147",7131
"COL10A1","ENST00000651968",2043
"COL5A1","ENST00000371817",5517
"COPA","ENST00000241704",3675
"CRB1","ENST00000367400",4221
"CRYGD","ENST00000644920",525
"CSF3R","ENST00000373106",2511
"CSRP3","ENST00000265968",585
"CXCR4","ENST00000241393",1059
"DAGLA","ENST00000257215",3129
"DCAF8","ENST00000368074",1794
"DHDDS","ENST00000236342",1002
"DHX30","ENST00000445061",3585
"DIAPH1","ENST00000389054",3819
"DLG4","ENST00000399506",2175
"DLL4","ENST00000249749",2058
"DLST","ENST00000334220",1362
"DNMT1","ENST00000359526",4899
"DNMT3A","ENST00000321117",2739
"DPF2","ENST00000528416",1176
"DPP6","ENST00000377770",2598
"DSC2","ENST00000280904",2706
"DSG1","ENST00000257192",3150
"DSTYK","ENST00000367162",2790
"DTNA","ENST00000444659",2313
"ECE1","ENST00000374893",2313
"EDN3","ENST00000337938",717
"EGR2","ENST00000242480",1431
"EIF5A","ENST00000672043",561
"ELMOD3","ENST00000409013",1146
"ELOVL4","ENST00000369816",945
"ENAM","ENST00000396073",3429
"EPAS1","ENST00000263734",2613
"EPCAM","ENST00000263735",945
"EPHX2","ENST00000521400",1668
"EPO","ENST00000252723",582
"ERMARD","ENST00000616801",2037
"F12","ENST00000253496",1848
"F13A1","ENST00000264870",2199
"FASLG","ENST00000367721",846
"FBP2","ENST00000375337",1020
"FGF23","ENST00000237837",756
"FHOD3","ENST00000590592",4869
"FLNC","ENST00000325888",8178
"FLRT3","ENST00000341420",1950
"FOXJ1","ENST00000322957",1266
"FOXP2","ENST00000350908",2148
"GATA5","ENST00000252997",1194
"GCH1","ENST00000491895",753
"GCM2","ENST00000379491",1521
"GDF1","ENST00000247005",1119
"GDF15","ENST00000252809",927
"GDF5","ENST00000374369",1506
"GFAP","ENST00000588735",1299
"GHSR","ENST00000241256",1101
"GIPC1","ENST00000393033",1002
"GJA3","ENST00000241125",1308
"GJA8","ENST00000369235",1302
"GJB6","ENST00000647029",786
"GLS","ENST00000320717",2010
"GNAI1","ENST00000649796",1065
"GRIA2","ENST00000264426",2652
"GUCY2D","ENST00000254854",3312
"H3-3B","ENST00000254810",411
"HNRNPA2B1","ENST00000618183",1026
"HNRNPR","ENST00000634713",1911
"HOXD10","ENST00000249501",1023
"HOXD13","ENST00000392539",1032
"HSD11B1","ENST00000367027",879
"IL1R1","ENST00000410023",1710
"IL6ST","ENST00000381298",2757
"IRF2BPL","ENST00000238647",2391
"IRF3","ENST00000377139",1284
"IRF6","ENST00000367021",1404
"IVNS1ABP","ENST00000367498",1929
"KANSL1","ENST00000626533",3318
"KCNA5","ENST00000252321",1842
"KCNC1","ENST00000265969",1758
"KCNC3","ENST00000477616",2274
"KCNJ13","ENST00000233826",1083
"KCNJ2","ENST00000243457",1284
"KCNJ5","ENST00000529694",1260
"KCNQ4","ENST00000347132",2088
"KCTD1","ENST00000580059",2598
"KDM3B","ENST00000314358",5286
"KDM4B","ENST00000159111",3291
"KDM6B","ENST00000448097",4932
"KDR","ENST00000263923",4071
"KIDINS220","ENST00000256707",5316
"KIF1A","ENST00000498729",5376
"KISS1R","ENST00000234371",1197
"KLHL7","ENST00000339077",1761
"KMT2A","ENST00000534358",11919
"KRAS","ENST00000311936",567
"KRT17","ENST00000311208",1299
"LDB3","ENST00000361373",2184
"LDLR","ENST00000558518",2583
"LHX4","ENST00000263726",1173
"LOXL1","ENST00000261921",1725
"LRP1","ENST00000243077",13635
"LRP4","ENST00000378623",5718
"MACF1","ENST00000564288",22668
"MAP1B","ENST00000296755",7407
"MAP2K2","ENST00000262948",1203
"MAPK8IP1","ENST00000241014",2136
"MATN3","ENST00000407540",1461
"MAX","ENST00000358664",483
"MBD4","ENST00000429544",1725
"MED13L","ENST00000281928",6633
"MEIS2","ENST00000561208",1434
"MEN1","ENST00000450708",1833
"MFN2","ENST00000235329",2274
"MLH3","ENST00000355774",4362
"MMP19","ENST00000322569",1527
"MNX1","ENST00000252971",1206
"MORC2","ENST00000397641",3099
"MPL","ENST00000372470",1908
"MSH6","ENST00000234420",4083
"MSTO1","ENST00000245564",1713
"MSX2","ENST00000239243",804
"MTNR1B","ENST00000257068",1089
"MTSS2","ENST00000338779",2244
"MUC5B","ENST00000529681",17289
"MYBPC3","ENST00000545968",3825
"MYCN","ENST00000281043",1395
"MYH11","ENST00000621545",5940
"MYH2","ENST00000245503",5826
"MYH8","ENST00000403437",5814
"MYOT","ENST00000239926",1497
"MYRF","ENST00000278836",3456
"NARS1","ENST00000256854",1647
"NFE2L2","ENST00000397062",1818
"NOTCH2","ENST00000256646",7416
"NQO2","ENST00000380455",696
"NR0B2","ENST00000254227",774
"NRL","ENST00000646526",714
"ODC1","ENST00000234111",1386
"OPA3","ENST00000263275",540
"OPN1SW","ENST00000249389",1038
"OPTN","ENST00000378747",1734
"OSBPL2","ENST00000313733",1443
"OVOL2","ENST00000278780",828
"PALLD","ENST00000505667",3372
"PAX8","ENST00000429538",1353
"PDE11A","ENST00000286063",2802
"PDE6B","ENST00000496514",2565
"PDLIM4","ENST00000253754",993
"PER2","ENST00000254657",3768
"PEX6","ENST00000304611",2943
"PIGT","ENST00000279036",1737
"PKD2","ENST00000237596",2907
"PLAU","ENST00000372764",1296
