ID,Start,End
P23771,194,216
P23771,361,389
P23771,414,443
P25054,239,305
P25054,828,878
P25054,923,943
P25054,958,987
P25054,1099,1169
P25054,1190,1244
P25054,1311,1376
P25054,1403,1475
P25054,1526,1569
P25054,1583,1611
P25054,1664,1717
P25054,1729,1836
P25054,1881,1950
P25054,1965,2011
P25054,2043,2072
P25054,2147,2635
P25054,2667,2714
P25054,2729,2843
P25067,70,544
P25189,224,248
P25490,33,81
P25490,157,203
P27539,67,86
P27986,80,108
P28300,64,89
P28300,137,174
P28360,18,55
P28360,69,117
P28360,133,174
P30279,264,289
P30793,1,64
P31629,1,93
P31629,272,303
P31629,340,416
P31629,543,563
P31629,751,985
P31629,1485,1603
P31629,1882,1951
P31629,2024,2129
P31629,2242,2325
P31629,2371,2403
P31629,2423,2446
P35498,28,60
P35498,455,529
P35498,584,627
P35498,1129,1163
P35498,1986,2009
P35499,39,63
P35499,493,530
P35499,863,885
P35499,930,992
P35499,1778,1836
P35523,65,92
P35523,713,764
P35523,880,988
P35555,2726,2746
P35556,27,52
P35579,1035,1057
P35579,1118,1137
P35579,1877,1960
P35606,837,870
P35637,1,286
P35637,375,424
P35637,444,526
P35680,64,85
P35680,324,352
P35711,1,29
P35711,77,141
P35711,359,426
P35711,714,763
P35713,1,88
P35713,146,218
P35713,293,312
P35916,1291,1331
P36956,39,193
P36956,421,479
P37088,1,43
P37088,620,669
P38398,230,270
P38398,306,338
P38398,534,570
P38398,654,709
P38398,1181,1216
P38398,1322,1387
P38398,1440,1505
P38398,1565,1596
P40189,660,681
P40189,722,758
P40238,205,232
P40337,1,65
P40692,355,378
P40692,400,491
P41180,892,963
P41180,986,1006
P41180,1030,1055
P41235,419,447
P42345,1812,1867
P43146,1126,1152
P43146,1165,1222
P43146,1288,1330
P43146,1394,1419
P43694,60,107
P43694,314,378
P43694,409,428
P43699,219,294
P43699,310,339
P45452,263,284
P46777,253,297
P46821,1,26
P46821,522,781
P46821,872,1045
P46821,1058,1160
P46821,1173,1220
P46821,1238,1277
P46821,1291,1826
P46821,1849,1896
P46821,1911,2037
P46821,2093,2349
P48436,1,67
P48436,160,273
P48436,330,415
P48436,479,509
P48444,168,188
P48547,121,147
P48751,1,316
P48751,429,498
P49711,180,211
P49711,573,677
P49711,689,717
P49747,298,503
P49792,760,802
P49792,1138,1174
P49792,1569,1595
P49792,1633,1657
P49792,1692,1716
P49792,1903,1928
P49792,2188,2224
P49792,2273,2307
P49792,2486,2509
P49792,2556,2584
P49792,2793,2818
P49815,655,676
P49815,930,964
P49815,1083,1132
P49815,1150,1174
P49815,1331,1352
P49815,1364,1488
P49815,1765,1793
P50219,37,78
P50219,101,120
P50219,299,401
P50548,130,169
P50548,184,225
P50548,280,304
P50548,342,478
P50548,492,548
P51532,1,177
P51532,198,352
P51532,577,610
P51532,647,699
P51532,1254,1299
P51532,1400,1460
P51532,1564,1647
P51788,643,672
P51788,686,717
P51788,856,898
P52701,1,84
P52701,195,362
P53985,454,500
P54098,1,68
P54098,318,340
P54098,506,531
P54760,965,987
P55011,36,81
P55011,112,138
P55011,150,193
P55011,962,989
P55197,206,260
P55197,291,505
P55197,583,612
P55197,660,708
P55197,800,865
P55265,208,238
P55265,258,286
P55265,574,610
P56178,1,49
P56178,198,251
P56178,270,289
P56693,1,67
P56693,160,199
P56693,212,274
P56693,354,375
P56693,433,466
P56715,1,25
P56715,353,375
P56715,666,686
P56715,1438,1458
P56715,1590,1621
P57679,66,105
P57679,151,181
P57679,825,854
P57679,930,992
P60880,1,23
P61073,329,352
P61313,165,186
P63027,1,33
P63092,1,23
P63092,68,91
P78337,1,103
P78504,1152,1218
P98161,616,635
P98161,4160,4196
P98161,4243,4303
Q00839,41,281
Q00839,671,749
Q00839,769,799
Q00872,1,51
Q01484,1,34
Q01484,1457,1486
Q01484,1670,2137
Q01484,2197,2411
Q01484,2430,2484
Q01484,2507,2586
Q01484,2604,2852
Q01484,2864,2904
Q01484,2923,2951
Q01484,2987,3016
Q01484,3069,3099
Q01484,3136,3462
Q01484,3777,3858
Q01668,1,21
Q01668,30,49
Q01668,64,100
Q01668,449,482
Q01668,766,850
Q01668,1659,1678
Q01668,1684,1804
Q01668,1872,1919
Q01668,2108,2152
Q01826,1,54
Q01826,266,307
Q01826,591,649
Q01954,1,29
Q01954,402,425
Q01954,444,472
Q01954,555,639
Q01954,859,881
Q01954,970,994
Q01974,757,796
Q01974,850,931
Q02413,485,534
Q02413,1014,1035
Q02962,304,325
Q03164,1,108
Q03164,132,253
Q03164,301,352
Q03164,445,585
Q03164,713,780
Q03164,798,949
Q03164,1038,1066
Q03164,1106,1166
Q03164,1200,1375
Q03164,1663,1713
Q03164,1806,1869
Q03164,2081,2133
Q03164,2145,2232
Q03164,2275,2333
Q03164,2373,2460
Q03164,2475,2618
Q03164,2647,2675
Q03164,2713,2821
Q03164,2961,3064
Q03164,3166,3244
Q03164,3464,3608
Q03164,3620,3643
Q03164,3785,3808
Q03468,1,39
Q03468,287,323
Q03468,344,453
Q03468,1042,1147
Q03468,1181,1247
Q03468,1318,1384
Q03692,55,523
Q04721,1754,1788
Q04721,2091,2168
Q04721,2380,2471
Q04912,1367,1400
Q05586,889,938
Q07837,1,56
Q07864,1,30
Q07864,1939,1969
Q08209,475,521
Q09428,935,987
Q09472,1,29
Q09472,133,157
Q09472,196,235
Q09472,482,518
Q09472,729,1050
Q09472,1520,1578
Q09472,1833,1924
Q09472,1980,2010
Q09472,2094,2163
Q09472,2186,2237
Q09472,2267,2385
Q10571,1,26
Q10571,92,121
Q10571,147,219
Q10571,231,411
Q10571,423,442
Q10571,474,615
Q10571,629,819
Q10571,840,1150
Q10571,1247,1273
Q12809,231,314
Q12809,870,982
Q12809,1015,1038
Q12809,1119,1159
Q12830,1,232
Q12830,567,774
Q12830,1057,1157
Q12830,1215,1339
Q12830,1371,1448
Q12830,1465,1537
Q12830,1605,1706
Q12830,1973,2003
Q12830,2041,2070
Q12830,2160,2180
Q12830,2232,2270
Q12830,2346,2549
Q12830,2714,2733
Q12830,2795,2858
Q12840,906,939
Q12840,978,1010
Q12857,189,211
Q12857,259,345
Q12857,352,371
Q12857,435,509
Q12873,23,133
Q12873,231,359
Q12873,431,452
Q12873,523,542
Q12873,587,611
Q12873,692,721
Q12873,1349,1399
Q12873,1513,1707
Q12879,997,1083
Q12879,1335,1372
Q13064,1,48
Q13064,69,89
Q13064,126,149
Q13114,1,28
Q13224,1074,1097
Q13224,1161,1194
Q13224,1271,1301
Q13255,883,905
Q13255,1007,1030
Q13255,1113,1173
Q13351,1,110
Q13351,249,271
Q13535,418,450
Q13563,1,28
Q13563,58,181
Q13563,764,831
Q13563,917,968
Q13698,1,23
Q13698,675,717
Q13698,731,757
Q13698,1731,1780
Q13873,593,626
Q13873,746,770
Q13873,872,972
Q13976,635,671
Q14003,1,87
Q14003,210,232
Q14003,556,613
Q14003,682,746
Q14004,1,20
Q14004,30,60
Q14004,75,545
Q14004,566,596
Q14004,654,685
Q14004,1025,1084
Q14004,1138,1170
Q14004,1201,1231
Q14004,1245,1273
Q14004,1379,1400
Q14004,1468,1512
Q14055,26,518
Q14055,554,663
Q14123,453,495
Q14123,523,650
Q14126,1068,1118
Q14204,2390,2411
Q14315,1,28
Q14315,1740,1765
Q14315,2240,2260
Q14524,28,56
Q14524,461,591
Q14524,1005,1141
Q14524,1959,2016
Q14573,322,342
Q14573,1132,1163
Q14573,1809,1848
Q14671,22,73
Q14671,233,272
Q14671,485,524
Q14671,613,648
Q14671,742,773
Q14697,181,238
Q14721,1,21
Q14721,471,524
Q14721,538,574
Q14721,770,807
Q14721,836,858
Q15022,1,23
Q15022,378,399
Q15022,687,739
Q15029,1,54
Q15149,144,179
Q15149,1618,1650
Q15149,1794,1836
Q15149,2105,2139
Q15149,2217,2307
Q15149,2668,2707
Q15149,2763,2784
Q15149,3310,3331
Q15149,4611,4684
Q15303,1117,1150
Q15465,279,302
Q15465,395,414
Q15744,1,30
Q15878,1,38
Q15878,729,774
Q15878,851,984
Q15878,1103,1125
Q15878,1970,2170
Q15878,2206,2225
Q15878,2263,2295
Q15910,180,222
Q15910,340,426
Q15911,1,78
Q15911,96,128
Q15911,417,536
Q15911,588,619
Q15911,1148,1214
Q15911,1303,1354
Q15911,1490,1529
Q15911,1629,1727
Q15911,1865,1938
Q15911,2030,2082
Q15911,2204,2244
Q15911,2376,2400
Q15911,2422,2520
Q15911,2619,2647
Q15911,2771,2796
Q15911,2841,2871
Q15911,2912,2947
Q15911,3137,3267
Q15911,3386,3449
Q15911,3565,3703
Q15915,375,431
Q16236,334,449
Q16236,571,605
Q16650,43,83
Q16650,108,127
Q16650,447,483
Q16650,588,658
Q16832,452,471
Q2M1Z3,398,427
Q2M1Z3,504,631
Q2M1Z3,688,893
Q2M1Z3,906,1108
Q2M1Z3,1211,1346
Q3SY56,1,70
Q3SY56,167,223
Q3SY56,333,376
Q4FZB7,1,62
Q4FZB7,363,444
Q4FZB7,590,655
Q4FZB7,716,740
Q4FZB7,816,850
Q5T442,108,178
Q5T442,364,439
Q5T481,1,58
Q5T481,289,374
Q5T481,624,906
Q5T481,977,1089
Q5T481,1201,1227
Q5VTD9,1,42
Q5XXA6,79,121
Q5XXA6,951,986
Q68CJ9,51,120
Q68CJ9,370,408
Q68CJ9,442,461
Q68CP9,819,844
Q68CP9,962,1057
Q68CP9,1266,1287
Q68CP9,1295,1314
Q68CP9,1321,1341
Q68CP9,1488,1522
Q68CP9,1572,1629
Q68CP9,1703,1728
Q68DH5,581,628
Q68DH5,662,682
Q6DJT9,1,30
Q6DJT9,365,388
Q6ISB3,1,24
Q6ISB3,82,112
Q6ISB3,428,453
Q6KC79,128,340
Q6KC79,482,946
Q6KC79,1017,1047
Q6KC79,1060,1191
Q6KC79,1691,1710
Q6KC79,2473,2520
Q6KC79,2651,2696
Q6UWE0,282,314
Q6UWE0,642,665
Q6VY07,1,72
Q6VY07,78,97
Q6VY07,262,299
Q6VY07,377,428
Q6VY07,476,542
Q6VY07,760,804
Q6ZSZ6,1,109
Q6ZSZ6,139,195
Q6ZSZ6,269,298
Q6ZSZ6,467,549
Q6ZSZ6,647,720
Q6ZSZ6,848,873
Q6ZVD7,327,346
Q6ZVD7,389,470
Q6ZVD7,497,556
Q6ZVD7,631,651
Q6ZVD7,926,948
Q765P7,256,302
Q765P7,318,441
Q765P7,457,522
Q765P7,543,599
Q765P7,638,664
Q765P7,691,720
Q7L2E3,1,27
Q7L2E3,150,199
Q7LBC6,253,346
Q7LBC6,370,394
Q7LBC6,438,496
Q7LBC6,572,603
Q7LBC6,714,762
Q7LBC6,805,827
Q7LBC6,1142,1220
Q7LG56,1,32
Q7Z333,1158,1219
Q7Z333,1237,1258
Q7Z333,1351,1385
Q7Z333,1579,1604
Q7Z333,2474,2496
Q7Z333,2556,2577
Q7Z333,2597,2677
Q7Z3K3,238,291
Q7Z3K3,332,361
Q7Z3K3,409,456
Q7Z3K3,693,715
Q7Z3K3,857,927
Q7Z3K3,942,969
Q7Z3K3,1360,1400
Q7Z4S6,556,641
Q7Z4S6,779,804
Q7Z4S6,841,881
Q7Z4S6,1116,1138
Q7Z4S6,1170,1318
Q7Z5J4,1,261
Q7Z5J4,273,299
Q7Z5J4,335,370
Q7Z5J4,469,520
Q7Z5J4,538,571
Q7Z5J4,656,712
Q7Z5J4,937,1299
Q7Z5J4,1344,1570
Q7Z5J4,1613,1637
Q7Z5J4,1746,1775
Q7Z5J4,1794,1819
Q7Z699,123,151
Q7Z6L0,1,261
Q86TC9,19,68
Q86TC9,84,145
Q86TC9,165,271
Q86TC9,554,655
Q86TC9,763,805
Q86TC9,844,876
Q86UE8,24,126
Q86UE8,180,208
Q86UE8,342,385
Q86UK5,36,76
Q86UK5,784,816
Q86VP3,180,246
Q86VP3,293,463
Q86VP3,687,740
Q86XK2,1,132
Q86YC2,52,72
Q86YC2,95,157
Q86YC2,252,273
Q86YC2,346,365
Q86YC2,440,525
Q86YC2,679,698
Q86YC2,774,798
Q8IY37,1,77
Q8IY37,116,225
Q8IY37,494,523
Q8IY37,542,584
Q8IZD2,217,269
Q8IZD2,475,530
Q8IZD2,630,687
Q8IZD2,887,960
Q8IZD2,1039,1068
Q8IZD2,1164,1561
Q8IZD2,1581,1835
Q8IZQ8,48,68
Q8IZQ8,154,281
Q8IZQ8,635,678
Q8IZQ8,693,734
Q8NEZ4,1,101
Q8NEZ4,164,203
Q8NEZ4,721,742
Q8NEZ4,763,798
Q8NEZ4,828,864
Q8NEZ4,885,912
Q8NEZ4,1215,1324
Q8NEZ4,1406,1431
Q8NEZ4,1458,1485
Q8NEZ4,1604,1630
Q8NEZ4,1709,2448
Q8NEZ4,2589,2694
Q8NEZ4,2793,2887
Q8NEZ4,2925,2954
Q8NEZ4,2989,3029
Q8NEZ4,3205,3241
Q8NEZ4,3353,3409
Q8NEZ4,3527,3583
Q8NEZ4,3596,3919
Q8NEZ4,4024,4053
Q8NHW3,40,108
Q8NHW3,177,219
Q8NHW3,315,353
Q8TDI0,1,134
Q8TDI0,225,338
Q8TDI0,549,571
Q8TDI0,1209,1253
Q8TDI0,1351,1411
Q8TDI0,1524,1564
Q8TDI0,1597,1640
Q8TDI0,1658,1696
Q8TDI8,1,80
Q8TF17,386,405
Q8TF17,410,444
Q8WVM7,1,84
Q8WVM7,1055,1096
Q8WVM7,1129,1148
Q8WWQ0,658,689
Q8WWQ0,751,927
Q8WWQ0,1280,1310
Q8WWQ0,1435,1507
Q8WWQ0,1555,1597
Q8WWQ0,1623,1646
Q8WWQ0,1751,1784
Q8WXG9,6216,6248
Q8WXX7,1,87
Q8WXX7,108,285
Q8WXX7,299,470
Q8WXX7,771,1027
Q8WXX7,1119,1146
Q8WXX7,1217,1259
Q8WYB5,72,97
Q8WYB5,360,409
Q8WYB5,442,531
Q8WYB5,553,583
Q8WYB5,639,663
Q8WYB5,1022,1452
Q8WYB5,1484,1538
Q8WYB5,1580,1619
Q92481,30,139
Q92481,435,460
Q92508,738,769
Q92508,1356,1402
Q92508,1462,1498
Q92508,1576,1630
Q92508,1811,1921
Q92560,301,351
Q92560,372,435
Q92560,464,524
Q92560,575,623
Q92560,703,729
Q92574,439,571
Q92574,1006,1085
Q92574,1131,1164
Q92731,507,530
Q92736,1856,1891
Q92736,2354,2379
Q92736,4210,4229
Q92736,4415,4467
Q92753,104,127
Q92785,79,146
Q92785,165,196
Q92785,233,266
Q92793,1,41
Q92793,74,179
Q92793,266,290
Q92793,794,1083
Q92793,1556,1615
Q92793,1874,1959
Q92793,1977,2028
Q92793,2112,2263
Q92793,2294,2433
Q92794,334,375
Q92794,441,464
Q92794,785,1445
Q92794,1461,1621
Q92794,1637,1721
Q92851,231,269
Q92908,14,71
Q92908,208,255
Q92908,286,339
Q92908,482,561
Q92949,1,34
Q92949,48,116
Q92949,261,302
Q92997,85,235
Q92997,546,691
Q93009,1,38
Q969G2,230,253
Q969G2,356,390
Q969G3,1,23
Q969G3,42,70
Q969G3,153,175
Q969G3,296,411
Q969H0,1,151
Q96CV9,1,32
Q96CV9,101,143
Q96CV9,186,209
Q96CV9,261,297
Q96EQ8,1,23
Q96G97,281,398
Q96GM5,1,103
Q96HY7,299,320
Q96J92,1,142
Q96J92,526,564
Q96J92,630,683
Q96J92,751,871
Q96J92,943,1110
Q96J92,1166,1243
Q96JM2,280,299
Q96JM2,337,356
Q96JM2,535,596
Q96JM2,636,661
Q96JM2,1157,1186
Q96JM2,2122,2152
Q96JM2,2371,2396
Q96JQ0,2065,2094
Q96JQ0,2986,3040
Q96JQ0,3062,3082
Q96JQ0,3233,3298
Q96L73,207,252
Q96L73,281,311
Q96L73,487,514
Q96L73,872,891
Q96L73,936,1035
Q96L73,1067,1093
Q96L73,1112,1134
Q96L73,1243,1272
Q96L73,1294,1344
Q96L73,1382,1428
Q96L73,1480,1534
Q96L73,2091,2111
Q96L73,2213,2422
Q96L73,2464,2499
Q96L73,2553,2575
Q96L73,2595,2616
Q96L73,2665,2696
Q96QT4,544,575
Q96QT4,1386,1407
Q96QT4,1492,1511
Q96QT4,1524,1543
Q96QT4,1836,1865
Q96RE7,131,153
Q96RE7,210,292
Q96RR1,637,684
Q96ST3,1,23
Q96ST3,87,110
Q96ST3,205,297
Q96ST3,398,446
Q96ST3,1136,1156
Q96T58,70,89
Q96T58,103,164
Q96T58,183,209
Q96T58,225,330
Q96T58,678,871
Q96T58,918,941
Q96T58,957,1020
Q96T58,1070,1287
Q96T58,1366,1397
Q96T58,1497,1524
Q96T58,1588,2171
Q96T58,2185,2532
Q96T58,2566,2590
Q96T58,2775,2806
Q96T58,2847,2875
Q96T58,2978,3010
Q96T58,3022,3047
Q96T58,3135,3156
Q96T58,3208,3265
Q96T58,3327,3492
Q99453,162,246
Q99453,259,289
Q99502,1,95
Q99502,240,320
Q99542,262,288
Q99593,1,46
Q99593,250,356
Q99684,1,109
Q99715,799,830
Q99715,1077,1099
Q99715,2283,2312
Q99715,2743,2896
Q99715,2932,3063
Q99728,1,32
Q99728,167,211
Q99728,356,404
Q9BR39,164,193
Q9BR39,250,282
Q9BR39,448,652
Q9BSQ5,1,37
Q9BSQ5,391,423
Q9BTA9,1,138
Q9BTA9,168,353
Q9BTA9,428,549
Q9BXM0,1318,1461
Q9BYX4,271,307
Q9BYX4,640,662
Q9BZ71,284,304
Q9BZ71,323,346
Q9BZ71,491,536
Q9BZ71,927,974
Q9BZV3,180,223
Q9BZV3,660,684
Q9C0K0,370,428
Q9C0K0,471,583
Q9C0K0,653,680
Q9C0K0,737,794
Q9GZT5,300,331
Q9H161,75,145
Q9H161,184,219
Q9H1P3,1,60
Q9H2P0,354,443
Q9H2P0,691,712
Q9H2P0,851,1030
Q9H2P0,1043,1102
Q9H3D4,123,171
Q9H3D4,351,393
Q9H3D4,435,472
Q9H3T3,651,679
Q9H3T3,695,742
Q9H3T3,757,888
Q9H4A3,1,81
Q9H4A3,95,203
Q9H4A3,573,779
Q9H4A3,1018,1041
Q9H4A3,1053,1119
Q9H4A3,1457,1476
Q9H4A3,1733,1790
Q9H4A3,1866,1948
Q9H4A3,1994,2069
Q9H4A3,2101,2196
Q9H4A3,2332,2352
Q9H4B7,432,451
Q9H6I2,1,22
Q9H6I2,36,66
Q9H6I2,256,286
Q9H6I2,305,352
Q9H8M5,121,151
Q9H8M5,742,763
Q9H9D4,201,350
Q9HAZ2,1,68
Q9HAZ2,533,657
Q9HAZ2,772,804
Q9HAZ2,1033,1065
Q9HAZ2,1105,1163
Q9HBA0,1,68
Q9HBA0,849,871
Q9HCR9,42,125
Q9NQB0,1,96
Q9NQB0,318,350
Q9NQB0,420,441
Q9NQB0,496,547
Q9NQB0,574,619
Q9NQW6,1,113
Q9NQW6,136,196
Q9NQW6,294,328
Q9NQW6,380,399
Q9NQW6,579,600
Q9NQW6,625,664
Q9NQZ5,111,138
Q9NQZ5,343,370
Q9NR82,404,465
Q9NR82,655,678
Q9NR82,876,919
Q9NVI7,1,55
Q9NVI7,111,134
Q9NWF4,225,267
Q9NY46,28,60
Q9NY46,493,528
Q9NY46,587,631
Q9NY46,662,681
Q9NY46,1118,1162
Q9NY46,1949,2000
Q9NYJ8,91,130
Q9NYJ8,219,310
Q9NYJ8,330,381
Q9NYJ8,642,663
Q9NZN8,96,126
Q9NZN8,276,342
Q9P2R6,1,90
Q9P2R6,464,495
Q9P2R6,542,1133
Q9P2R6,1162,1246
Q9UBP0,1,43
Q9UBP0,224,266
Q9UBP0,278,312
Q9UGU0,1,287
Q9UGU0,305,328
Q9UGU0,360,392
Q9UGU0,476,748
Q9UGU0,920,1037
Q9UGU0,1110,1142
Q9UGU0,1162,1285
Q9UGU0,1303,1331
Q9UGU0,1384,1607
Q9UGU0,1660,1683
Q9UGU0,1732,1839
Q9UGU0,1939,1960
Q9UHF7,1,198
Q9UHF7,365,394
Q9UHF7,483,512
Q9UHF7,856,887
Q9UHF7,961,1000
Q9UHF7,1039,1080
Q9UHF7,1168,1196
Q9UJQ4,1,62
Q9UJQ4,116,149
Q9UJQ4,483,546
Q9UJQ4,694,714
Q9UJQ4,736,776
Q9UJQ4,788,828
Q9UJQ4,1018,1039
Q9UJV9,1,39
Q9UJV9,52,84
Q9UKV8,1,27
Q9UKX2,1128,1149
Q9UKX2,1155,1174
Q9UL51,1,159
Q9UL51,754,889
Q9UL68,1,21
Q9UL68,56,175
Q9UL68,220,247
Q9UL68,342,372
Q9UL68,449,513
Q9UL68,659,709
Q9UL68,753,780
Q9ULH0,1182,1202
Q9ULH0,1285,1310
Q9ULH0,1344,1368
Q9ULH0,1397,1564
Q9ULH0,1578,1633
Q9ULH0,1713,1771
Q9ULM3,117,198
Q9ULM3,465,486
Q9ULM3,513,540
Q9ULM3,794,842
Q9UM47,1,26
Q9UM47,2024,2120
Q9UM47,2190,2321
Q9UM54,934,955
Q9UMN6,1,65
Q9UMN6,81,302
Q9UMN6,320,518
Q9UMN6,532,771
Q9UMN6,819,868
Q9UMN6,894,959
Q9UMN6,1027,1132
Q9UMN6,1146,1166
Q9UMN6,1545,1567
Q9UMN6,1806,1978
Q9UMN6,2008,2093
Q9UMN6,2118,2162
Q9UMN6,2280,2412
Q9UNE0,220,297
Q9UNE7,1,30
Q9UPY3,409,433
Q9UQ13,1,88
Q9UQ35,141,2131
Q9UQ35,2311,2342
Q9UQ35,2389,2752
Q9UQE7,242,268
Q9UQE7,1059,1090
Q9UQN3,179,199
Q9UQR1,298,336
Q9UQR1,574,596
Q9Y210,1,26
Q9Y2G1,55,150
Q9Y2G1,170,200
Q9Y2G1,284,339
Q9Y2G1,722,750
Q9Y2G1,897,925
Q9Y2H9,23,80
Q9Y2H9,94,117
Q9Y2H9,139,171
Q9Y2H9,340,374
Q9Y2H9,717,909
Q9Y2H9,929,965
Q9Y2H9,1065,1184
Q9Y2H9,1200,1293
Q9Y2H9,1305,1570
Q9Y2I7,1,45
Q9Y2I7,57,123
Q9Y2I7,292,329
Q9Y2I7,442,469
Q9Y2I7,484,505
Q9Y2I7,1161,1191
Q9Y2I7,1512,1616
Q9Y2I7,1692,1799
Q9Y2T1,1,75
Q9Y2T1,396,435
Q9Y2T1,447,494
Q9Y2T1,561,674
Q9Y2T1,718,748
Q9Y2U8,19,38
Q9Y2U8,43,89
Q9Y2U8,111,130
Q9Y2U8,140,354
Q9Y2U8,879,911
Q9Y345,1,118
Q9Y3Q4,1,182
Q9Y3Q4,836,856
Q9Y3Q4,870,897
Q9Y3Q4,918,1203
Q9Y4D2,846,903
Q9Y4D2,1014,1042
Q9Y561,623,678
Q9Y561,693,723
Q9Y561,748,770
Q9Y561,801,823
Q9Y5B9,492,518
Q9Y5B9,918,1047
Q9Y5X4,118,162
Q9Y5X4,193,215
Q9Y6D6,46,65
Q9Y6D6,216,248
Q9Y6D6,267,302
Q9Y6D6,378,413
Q9Y6D6,1543,1562
Q9Y6K1,1,178
Q9Y6K1,221,286
Q9Y6K1,447,466
Q9Y6X0,1,83
Q9Y6X0,134,426
Q9Y6X0,475,518
Q9Y6X0,604,624
Q9Y6X0,722,763
Q9Y6X0,777,796
Q9Y6X0,854,889
Q9Y6X0,1134,1164
Q9Y6X0,1202,1225
Q9Y6X0,1245,1300
Q9Y6X0,1325,1344
Q9Y6X0,1440,1473
Q9Y6X0,1518,1596
