design,pair_id,stratum,role,is_disease,hgnc_symbol,uniprot,ensembl_transcript_id,group,Pfam_flag,Protein_feature_flag,Structured_domain_flag,SLiM_flag,MoRF_flag,PTM_flag,NLS_flag,LCS_flag,PPI_flag,cds_length,NMDesc_region_length,exon_num,gc_content,nmdesc_gc_content,repeat_fraction,nmdesc_repeat_fraction,homopolymer_fraction,nmdesc_homopolymer_fraction,pfam_overlap_length,pfam_overlap_fraction,degree_centrality,pLI,oe_lof_upper,tau,n_flags_set,n_flags_available
matched,FS_0006,FS,case,1,ZFHX3,Q15911,ENST00000268489,fs,0,1.0,1.0,,,1.0,1.0,1.0,0.0,11112,1765,10,56.24,61.08,0.6247300215982722,0.6487252124645893,0.0768538516918646,0.1076487252124645,0,0.0,0.0114613180515759,1.0,0.136,0.8582261788344843,5.0,7
matched,FS_0006,FS,control,0,SPEN,Q96T58,ENST00000375759,fs_control,1,1.0,1.0,,,0.0,0.0,1.0,0.0,10995,195,15,51.93,60.51,0.6128240109140518,0.6512820512820513,0.0895861755343337,0.0205128205128205,195,1.0,0.0343839541547277,1.0,0.071,0.5996750805596265,4.0,7
matched,FS_0007,FS,case,1,DCHS1,Q96JQ0,ENST00000299441,fs,1,1.0,1.0,,,1.0,,1.0,0.0,9897,2513,21,61.41,61.16,0.577952915024755,0.5563072025467569,0.0587046579771648,0.0584958217270195,1111,0.4421010744130521,0.0028653295128939,0.99997,0.242,0.8374475437136266,5.0,6
matched,FS_0007,FS,control,0,RANBP2,P49792,ENST00000283195,fs_control,1,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,9675,367,29,40.11,38.42,0.6125064599483204,0.6648501362397821,0.0880620155038759,0.0599455040871934,367,1.0,0.0257879656160458,1.0,0.142,0.4753468046403588,6.0,8
matched,FS_0008,FS,case,1,COL12A1,Q99715,ENST00000322507,fs,1,1.0,1.0,,,1.0,,1.0,0.0,9192,4475,66,46.63,48.8,0.6102045256744996,0.5946368715083798,0.064621409921671,0.0545251396648044,3137,0.7010055865921788,0.0429799426934097,0.97361,0.282,0.9271612844620226,5.0,6
matched,FS_0008,FS,control,0,DMXL2,,ENST00000560891,fs_control,1,,,,,,,,,9177,285,44,41.03,47.37,0.5881006864988558,0.6175438596491228,0.0629835458210744,0.0701754385964912,111,0.3894736842105263,0.0057306590257879,1.0,0.158,0.6657244097101369,1.0,1
matched,FS_0009,FS,case,1,BPTF,Q12830,ENST00000306378,fs,1,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,8763,90,28,45.65,40.0,0.6226178249457949,0.5333333333333333,0.0801095515234508,0.0888888888888888,47,0.5222222222222223,0.0945558739255014,1.0,0.099,0.6207705677950959,7.0,8
matched,FS_0009,FS,control,0,FBN2,P35556,ENST00000262464,fs_control,0,1.0,1.0,,,1.0,,1.0,0.0,8739,495,65,49.59,50.71,0.605217988328184,0.593939393939394,0.0561849181828584,0.0565656565656565,0,0.0,0.0544412607449856,1.0,0.205,0.9953463622648822,4.0,6
matched,FS_0010,FS,case,1,DSP,P15924,ENST00000379802,fs,1,1.0,1.0,,,1.0,,1.0,1.0,8616,3181,24,48.33,48.07,0.5899489322191273,0.6089280100597296,0.0548978644382544,0.0631876768311851,897,0.2819867966048412,0.0286532951289398,0.99978,0.26,0.9590385335513152,6.0,6
matched,FS_0010,FS,control,0,NF1,P21359,ENST00000358273,fs_control,0,1.0,0.0,,,1.0,0.0,1.0,0.0,8520,136,58,42.95,50.74,0.6045774647887324,0.5514705882352942,0.0580985915492957,0.0588235294117647,0,0.0,0.1002865329512893,0.90175,0.29,0.5800727563272441,3.0,7
matched,FS_0011,FS,case,1,FBN1,P35555,ENST00000316623,fs,0,1.0,0.0,0.0,,1.0,,1.0,0.0,8616,488,66,48.92,42.83,0.61652739090065,0.5963114754098361,0.0504874651810585,0.0512295081967213,0,0.0,0.0515759312320916,1.0,0.049,0.9493102721776132,3.0,7
matched,FS_0011,FS,control,0,VWF,P04275,ENST00000261405,fs_control,0,1.0,1.0,0.0,,1.0,,1.0,0.0,8442,162,52,58.48,51.85,0.5867093105899076,0.5061728395061729,0.0533049040511727,0.0,0,0.0,0.0859598853868194,3.2187e-25,0.593,0.8454097179323949,4.0,7
matched,FS_0012,FS,case,1,NIPBL,Q6KC79,ENST00000282516,fs,0,1.0,0.0,,,1.0,1.0,1.0,0.0,8415,435,47,39.77,46.44,0.6162804515745692,0.5655172413793104,0.0903149138443256,0.0551724137931034,0,0.0,0.0573065902578796,1.0,0.032,0.5265020738937766,4.0,7
matched,FS_0012,FS,control,0,SRRM2,Q9UQ35,ENST00000301740,fs_control,0,1.0,0.0,,,1.0,1.0,1.0,0.0,8259,129,15,55.61,72.09,0.6087904104613149,0.689922480620155,0.0617508172902288,0.1317829457364341,0,0.0,0.0171919770773638,1.0,0.118,0.5722262941646556,4.0,7
matched,FS_0013,FS,case,1,FLNC,Q14315,ENST00000325888,fs,1,1.0,1.0,,,1.0,,1.0,0.0,8178,300,48,62.17,60.67,0.5964783565663977,0.6266666666666667,0.0682318415260454,0.0833333333333333,196,0.6533333333333333,0.0515759312320916,0.99994,0.25,0.9498199602166604,5.0,6
matched,FS_0013,FS,control,0,KMT2B,Q9UMN6,ENST00000420124,fs_control,1,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,8148,386,37,63.67,55.96,0.6323024054982818,0.4974093264248704,0.1205203730976926,0.0233160621761658,273,0.7072538860103627,0.0573065902578796,1.0,0.07,0.6627570798220206,7.0,8
matched,FS_0014,FS,case,1,ZNF292,O60281,ENST00000369577,fs,1,1.0,1.0,,,1.0,1.0,1.0,0.0,8172,7188,8,38.69,37.8,0.6243269701419482,0.6228436282693378,0.0860254527655408,0.0879243183082916,626,0.08708959376739,0.0028653295128939,1.0,0.14,0.752052123336505,6.0,7
matched,FS_0014,FS,control,0,ATR,Q13535,ENST00000350721,fs_control,0,0.0,1.0,,,1.0,1.0,1.0,1.0,7935,154,47,39.99,44.81,0.5901701323251418,0.551948051948052,0.0684310018903591,0.0259740259740259,20,0.1298701298701298,0.0487106017191977,3.5177e-09,0.399,0.613141513226214,5.0,7
matched,FS_0015,FS,case,1,SETX,Q7Z333,ENST00000224140,fs,1,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,8034,4085,26,40.85,42.5,0.6086631814787155,0.6046511627906976,0.0721931789892954,0.0687882496940024,1449,0.3547123623011016,0.0429799426934097,0.95483,0.296,0.6717552867031983,7.0,8
matched,FS_0015,FS,control,0,FLNB,O75369,ENST00000295956,fs_control,1,1.0,1.0,,,1.0,,1.0,0.0,7809,223,46,55.82,58.74,0.5980279165065949,0.6547085201793722,0.0586502753233448,0.0403587443946188,125,0.5605381165919282,0.0200573065902578,6.0505e-10,0.443,0.7722366277994653,5.0,6
matched,FS_0016,FS,case,1,PIEZO1,Q92508,ENST00000301015,fs,1,1.0,1.0,,,1.0,,1.0,0.0,7566,425,51,63.89,61.65,0.6041501453872588,0.5388235294117647,0.0474491144594237,0.0305882352941176,425,1.0,0.0229226361031518,3.9379e-21,0.581,0.673896139562525,5.0,6
matched,FS_0016,FS,control,0,ZNF462,Q96JM2,ENST00000277225,fs_control,0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,7521,238,13,50.3,45.8,0.6044408988166468,0.6428571428571429,0.0632894561893365,0.1176470588235294,0,0.0,,1.0,0.085,0.6580481435193989,4.0,8
matched,FS_0017,FS,case,1,CACNA1A,O00555,ENST00000360228,fs,0,1.0,0.0,,,1.0,,1.0,0.0,7521,688,47,59.65,74.27,0.6263794708150512,0.688953488372093,0.078978859194256,0.129360465116279,0,0.0,0.0744985673352435,1.0,0.134,0.9763424528844012,3.0,6
matched,FS_0017,FS,control,0,FN1,P02751,ENST00000354785,fs_control,1,1.0,1.0,0.0,,1.0,,1.0,0.0,7434,169,46,51.52,52.07,0.5817863868711326,0.5857988165680473,0.0442561205273069,0.0532544378698224,28,0.165680473372781,0.1833810888252149,0.0014045,0.338,0.9876820374042412,5.0,7
matched,FS_0018,FS,case,1,NOTCH2,Q04721,ENST00000256646,fs,1,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,7416,1411,34,53.74,55.78,0.6004584681769147,0.6172927002126152,0.058522114347357,0.0850460666194188,171,0.1211906449326718,0.0630372492836676,1.0,0.116,0.7674102569528441,7.0,8
matched,FS_0018,FS,control,0,MAP1B,P46821,ENST00000296755,fs_control,0,1.0,0.0,,,1.0,,0.0,0.0,7407,199,7,48.41,53.27,0.607668421763197,0.628140703517588,0.0776292696098285,0.0402010050251256,0,0.0,0.0315186246418338,1.0,0.133,0.8454990040639155,2.0,6
matched,FS_0019,FS,case,1,SDHD,O14521,ENST00000375549,fs,1,1.0,1.0,,,,,0.0,1.0,480,141,4,53.33,53.19,0.5520833333333334,0.5319148936170213,0.0333333333333333,0.0567375886524822,141,1.0,0.0114613180515759,0.33697,0.731,0.4668467567376388,4.0,5
matched,FS_0019,FS,control,0,PMP22,Q01453,ENST00000312280,fs_control,1,1.0,1.0,1.0,,1.0,,1.0,1.0,483,191,5,54.24,50.26,0.5942028985507246,0.581151832460733,0.031055900621118,0.0523560209424083,191,1.0,0.0114613180515759,0.90958,0.386,0.959402724118258,7.0,7
matched,FS_0020,FS,case,1,HIVEP2,P31629,ENST00000367603,fs,0,1.0,0.0,,,1.0,0.0,1.0,0.0,7341,791,10,49.19,52.47,0.5988284974799074,0.6005056890012642,0.0532624982972347,0.0720606826801517,0,0.0,0.0028653295128939,1.0,0.08,0.7523448132657088,3.0,7
matched,FS_0020,FS,control,0,SON,P18583,ENST00000356577,fs_control,1,0.0,0.0,,,1.0,1.0,1.0,0.0,7281,125,12,48.26,41.6,0.5831616536190084,0.656,0.0629034473286636,0.072,91,0.728,0.0057306590257879,1.0,0.118,0.5321866296261034,4.0,7
matched,FS_0021,FS,case,1,CREBBP,Q92793,ENST00000262367,fs,1,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,7329,2225,31,56.88,65.66,0.611679628871606,0.6049438202247192,0.0814572247237003,0.0957303370786516,643,0.2889887640449438,0.160458452722063,1.0,0.066,0.594436502706408,7.0,8
matched,FS_0021,FS,control,0,SPTAN1,Q13813,ENST00000372739,fs_control,1,1.0,1.0,0.0,,1.0,,1.0,1.0,7434,3659,57,53.19,55.23,0.5947000269034167,0.6034435638152501,0.0312079634113532,0.029516261273572,3452,0.9434271658923205,0.0659025787965616,1.0,0.101,0.7606006891450411,6.0,7
matched,FS_0022,FS,case,1,EP300,Q09472,ENST00000263253,fs,1,1.0,1.0,,,1.0,1.0,1.0,1.0,7245,2356,31,51.55,58.15,0.6140786749482402,0.6171477079796265,0.0657004830917874,0.0717317487266553,660,0.2801358234295416,0.2063037249283667,1.0,0.099,0.5209494404626289,7.0,7
matched,FS_0022,FS,control,0,WNK1,Q9H4A3,ENST00000315939,fs_control,1,1.0,0.0,1.0,,1.0,,1.0,1.0,7149,3460,28,50.19,48.44,0.5963071758287872,0.5939306358381503,0.0558120016785564,0.0482658959537572,195,0.0563583815028901,0.0085959885386819,1.0,0.126,0.7423469928178777,6.0,7
matched,FS_0023,FS,case,1,TCAP,O15273,ENST00000309889,fs,1,1.0,1.0,,,1.0,,1.0,1.0,504,271,2,64.88,65.68,0.5773809523809523,0.5867158671586716,0.0357142857142857,0.029520295202952,271,1.0,0.0429799426934097,0.18939,0.948,0.980989365563416,6.0,6
matched,FS_0023,FS,control,0,MYL2,P10916,ENST00000228841,fs_control,1,1.0,1.0,,,1.0,,1.0,1.0,501,434,7,50.5,50.23,0.6367265469061876,0.6405529953917051,0.0558882235528942,0.064516129032258,138,0.3179723502304147,0.0544412607449856,2.7303e-08,1.751,0.9871577612690788,6.0,6
matched,FS_0024,FS,case,1,NOTCH3,Q9UM47,ENST00000263388,fs,1,1.0,1.0,0.0,,1.0,1.0,1.0,0.0,6966,947,33,66.42,69.38,0.5858455354579386,0.6546990496304118,0.0790984783232845,0.1721224920802534,204,0.2154171066525871,0.0716332378223495,0.40757,0.322,0.9047012979954216,6.0,8
matched,FS_0024,FS,control,0,CACNA1E,Q15878,ENST00000367573,fs_control,0,1.0,0.0,,,1.0,,1.0,0.0,6942,659,48,54.68,62.82,0.5953615672716797,0.6084977238239757,0.0551714203399596,0.0773899848254931,0,0.0,0.0229226361031518,1.0,0.124,0.9359309790534804,3.0,6
matched,FS_0025,FS,case,1,ARID1A,O14497,ENST00000324856,fs,1,1.0,1.0,,,1.0,1.0,1.0,1.0,6858,1834,20,59.83,54.53,0.6396908719743365,0.623773173391494,0.0854476523767862,0.0523446019629225,768,0.4187568157033806,0.1002865329512893,1.0,0.071,0.6004483262813832,7.0,7
matched,FS_0025,FS,control,0,POLE,Q07864,ENST00000320574,fs_control,1,1.0,1.0,,,1.0,1.0,1.0,1.0,6861,6595,49,56.13,56.04,0.5937909925666812,0.5960576194086429,0.0451829179419909,0.046398786959818,2470,0.3745261561789234,0.0544412607449856,8.0488e-27,0.64,0.8390618106725203,7.0,7
matched,FS_0026,FS,case,1,FTL,P02792,ENST00000331825,fs,1,1.0,1.0,,,1.0,,1.0,1.0,528,145,4,56.63,54.48,0.5928030303030303,0.5793103448275863,0.0568181818181818,0.096551724137931,145,1.0,0.0114613180515759,1.6617e-09,1.946,0.7090582473661106,6.0,6
matched,FS_0026,FS,control,0,MFAP5,Q13361,ENST00000359478,fs_control,1,1.0,1.0,,,,,1.0,1.0,522,220,10,48.28,46.36,0.5383141762452107,0.4909090909090909,0.0632183908045977,0.0545454545454545,204,0.9272727272727272,0.0372492836676217,0.0050619,0.849,0.92923710260374,5.0,5
matched,FS_0027,FS,case,1,RP1,P56715,ENST00000220676,fs,0,1.0,1.0,,,1.0,,1.0,0.0,6471,5758,4,39.5,37.03,0.62277855045588,0.624869746439736,0.0959666203059805,0.0979506773185133,0,0.0,0.0057306590257879,4.415e-13,0.704,0.9364700560324624,4.0,6
matched,FS_0027,FS,control,0,CACNA1D,Q01668,ENST00000350061,fs_control,1,1.0,1.0,0.0,,1.0,,1.0,0.0,6486,451,48,49.12,59.65,0.5995991366019118,0.6053215077605322,0.070613629355535,0.0665188470066518,451,1.0,0.0487106017191977,1.0,0.214,0.9161973998514258,5.0,7
matched,FS_0028,FS,case,1,KAT6B,Q8WYB5,ENST00000630001,fs,0,1.0,0.0,,,1.0,1.0,1.0,0.0,6222,2609,18,48.25,51.63,0.6242365798778527,0.6055960137983902,0.0821279331404693,0.0597930241471828,0,0.0,0.0315186246418338,1.0,0.128,0.5713806295100274,4.0,7
matched,FS_0028,FS,control,0,PIKFYVE,Q9Y2I7,ENST00000264380,fs_control,1,1.0,1.0,,,1.0,,0.0,0.0,6297,165,42,44.62,38.79,0.6017151024297285,0.6303030303030303,0.0643163411148165,0.103030303030303,152,0.9212121212121211,0.0171919770773638,1.1074e-06,0.389,0.5479431511357467,4.0,6
matched,FS_0029,FS,case,1,SCN5A,Q14524,ENST00000423572,fs,1,1.0,1.0,1.0,,1.0,,1.0,1.0,6048,1297,28,57.31,56.98,0.609292328042328,0.599845797995374,0.0534060846560846,0.0454895913646877,797,0.6144949884348496,0.1002865329512893,0.91291,0.308,0.9715692145249114,7.0,7
matched,FS_0029,FS,control,0,CHD3,Q12873,ENST00000330494,fs_control,1,1.0,1.0,,,1.0,1.0,1.0,1.0,6003,2797,40,55.11,55.42,0.6220223221722472,0.6220951018948874,0.0777944361152757,0.0654272434751519,1549,0.5538076510547014,0.0744985673352435,1.0,0.147,0.7008075854548422,7.0,7
matched,FS_0030,FS,case,1,KAT6A,Q92794,ENST00000265713,fs,0,1.0,0.0,,,1.0,1.0,1.0,0.0,6015,2717,17,49.31,54.03,0.6204488778054863,0.6120721383879278,0.0713216957605985,0.0478468899521531,0,0.0,0.0458452722063037,1.0,0.069,0.5678416140993691,4.0,7
matched,FS_0030,FS,control,0,CHD5,Q8TDI0,ENST00000262450,fs_control,1,1.0,1.0,,,1.0,1.0,1.0,0.0,5865,2817,41,59.32,60.63,0.6308610400682012,0.6183883564075258,0.06615515771526,0.0599929002484913,1496,0.5310614128505502,0.0200573065902578,1.0,0.157,0.9210802908021392,6.0,7
matched,FS_0031,FS,case,1,SCN3A,Q9NY46,ENST00000283254,fs,1,1.0,1.0,,,1.0,,1.0,0.0,6003,1246,28,42.83,43.98,0.6156921539230384,0.6260032102728732,0.0692986839913376,0.0666131621187801,761,0.6107544141252006,0.0487106017191977,1.0,0.174,0.8522214952469623,5.0,6
matched,FS_0031,FS,control,0,MYH2,Q9UKX2,ENST00000245503,fs_control,1,1.0,1.0,,,1.0,,1.0,0.0,5826,158,40,50.05,53.16,0.6138002059732235,0.5506329113924051,0.0518365945760384,0.0253164556962025,130,0.8227848101265823,0.0229226361031518,3.6703e-23,0.686,0.9998213793525836,5.0,6
matched,FS_0032,FS,case,1,MYH9,P35579,ENST00000216181,fs,1,1.0,1.0,,,1.0,,1.0,1.0,5883,188,41,59.19,65.96,0.6071732109467959,0.5904255319148937,0.0237973822879483,0.0638297872340425,100,0.5319148936170213,0.0515759312320916,1.0,0.088,0.8573064288659175,6.0,6
matched,FS_0032,FS,control,0,DICER1,Q9UPY3,ENST00000343455,fs_control,1,1.0,1.0,,,1.0,,1.0,0.0,5769,213,27,42.71,46.48,0.5959438377535101,0.6948356807511737,0.0773097590570289,0.0938967136150234,213,1.0,0.0429799426934097,1.0,0.166,0.6389773689568568,5.0,6
matched,FS_0033,FS,case,1,MYH7,P12883,ENST00000355349,fs,1,1.0,1.0,,,1.0,,1.0,0.0,5808,132,40,57.37,62.12,0.6007231404958677,0.5833333333333334,0.0318526170798898,0.0,104,0.7878787878787878,0.0573065902578796,4.2385e-16,0.575,0.985294463525198,5.0,6
matched,FS_0033,FS,control,0,RAI1,Q7Z5J4,ENST00000353383,fs_control,1,0.0,1.0,,,0.0,1.0,1.0,1.0,5721,179,6,64.01,54.75,0.6500611781157141,0.6759776536312849,0.0905436112567733,0.0446927374301676,179,1.0,0.0085959885386819,1.0,0.116,0.6395713652599399,5.0,7
matched,FS_0034,FS,case,1,HSPB1,P04792,ENST00000248553,fs,1,1.0,1.0,,,1.0,,1.0,1.0,618,357,3,68.28,66.39,0.6197411003236246,0.6050420168067226,0.1148867313915857,0.0756302521008403,291,0.8151260504201681,0.0229226361031518,2.7797e-07,1.872,0.8312148087500822,6.0,6
matched,FS_0034,FS,control,0,RALA,P11233,ENST00000005257,fs_control,1,1.0,1.0,,,1.0,,1.0,1.0,621,119,5,42.03,37.82,0.5861513687600645,0.5798319327731093,0.0998389694041868,0.1176470588235294,101,0.8487394957983193,0.0057306590257879,0.97289,0.269,0.6528115211144913,6.0,6
matched,FS_0035,FS,case,1,BRCA1,P38398,ENST00000357654,fs,1,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,5592,233,23,41.22,53.22,0.6074749642346209,0.575107296137339,0.0742131616595136,0.0,233,1.0,0.1289398280802292,9.215699999999999e-29,0.915,0.91741549838723,7.0,8
matched,FS_0035,FS,control,0,CACNA1S,Q13698,ENST00000362061,fs_control,0,1.0,0.0,0.0,,0.0,,1.0,0.0,5622,243,44,55.73,58.85,0.5940946282461758,0.6378600823045267,0.0444681607968694,0.0534979423868312,0,0.0,0.0343839541547277,6.2588e-12,0.521,0.9992672272385212,2.0,7
matched,FS_0036,FS,case,1,KMT2E,Q8IZD2,ENST00000311117,fs,0,1.0,0.0,,,1.0,0.0,1.0,0.0,5577,1136,27,43.55,46.57,0.6162811547426932,0.6109154929577465,0.0891160121929352,0.0818661971830986,0,0.0,0.0429799426934097,1.0,0.06,0.5423151165194247,3.0,7
matched,FS_0036,FS,control,0,ARFGEF1,Q9Y6D6,ENST00000262215,fs_control,1,0.0,0.0,,,0.0,1.0,1.0,0.0,5550,209,39,40.27,36.36,0.5899099099099099,0.6746411483253588,0.063063063063063,0.0717703349282296,162,0.7751196172248804,0.0171919770773638,1.0,0.143,0.5768757186857426,3.0,7
matched,FS_0037,FS,case,1,VHL,P40337,ENST00000256474,fs,1,1.0,1.0,,,1.0,,1.0,1.0,642,261,3,61.53,53.26,0.6074766355140186,0.5632183908045977,0.0202492211838006,0.0191570881226053,228,0.8735632183908046,0.0286532951289398,0.079515,0.927,0.7133568531639026,6.0,6
matched,FS_0037,FS,control,0,THAP1,Q9NVV9,ENST00000254250,fs_control,1,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,642,423,3,44.86,44.21,0.6121495327102804,0.624113475177305,0.0514018691588785,0.0638297872340425,41,0.0969267139479905,0.0085959885386819,0.80123,0.489,0.561051205560159,7.0,8
matched,FS_0038,FS,case,1,COL5A1,P20908,ENST00000371817,fs,1,1.0,1.0,1.0,,1.0,,1.0,0.0,5517,2787,66,64.38,66.06,0.6733732100779409,0.6860423394330821,0.1152800435019032,0.131324004305705,868,0.3114459992823825,0.0601719197707736,1.0,0.055,0.8905803158853768,6.0,7
matched,FS_0038,FS,control,0,ARID2,Q68CP9,ENST00000334344,fs_control,0,0.0,0.0,,,1.0,0.0,1.0,0.0,5508,103,21,44.06,38.83,0.5782498184458968,0.5533980582524272,0.0628177196804647,0.0388349514563106,0,0.0,0.0573065902578796,1.0,0.096,0.7374103521842829,2.0,7
matched,FS_0039,FS,case,1,SCN4A,P35499,ENST00000435607,fs,1,1.0,1.0,,,1.0,,1.0,1.0,5511,1254,24,57.54,57.58,0.5949918345127926,0.5996810207336523,0.0462710941752857,0.0454545454545454,821,0.6547049441786283,0.0544412607449856,0.01294,0.378,0.9789245349074186,6.0,6
matched,FS_0039,FS,control,0,PHIP,Q8WWQ0,ENST00000275034,fs_control,0,1.0,0.0,,,1.0,1.0,1.0,0.0,5466,687,40,41.73,40.17,0.5918404683497988,0.6404657933042213,0.0781192828393706,0.0960698689956331,0,0.0,0.0143266475644699,1.0,0.113,0.5597647239056899,4.0,7
matched,FS_0040,FS,case,1,KIDINS220,Q9ULH0,ENST00000256707,fs,0,1.0,0.0,,,1.0,,1.0,0.0,5316,1282,30,45.39,47.27,0.5980060195635817,0.594383775351014,0.0603837471783295,0.0717628705148206,0,0.0,0.0085959885386819,0.073562,0.35,0.7071383143550191,3.0,6
matched,FS_0040,FS,control,0,KDM3B,Q7LBC6,ENST00000314358,fs_control,1,1.0,1.0,,,1.0,0.0,1.0,1.0,5286,155,24,51.87,41.29,0.6142640938327658,0.5161290322580645,0.0739689746500189,0.0258064516129032,21,0.1354838709677419,0.0286532951289398,1.0,0.06,0.4689852861896372,6.0,7
matched,FS_0041,FS,case,1,GLI2,,ENST00000361492,fs,0,,,,,,,,,4710,2522,14,66.45,68.79,0.6063694267515923,0.6094369547977796,0.0868365180467091,0.0880253766851705,0,0.0,0.0573065902578796,0.97303,0.309,0.8800969758184566,0.0,1
matched,FS_0041,FS,control,0,RERE,Q9P2R6,ENST00000400908,fs_control,1,0.0,1.0,,,0.0,0.0,1.0,0.0,4701,241,23,60.99,62.24,0.6109338438630079,0.6141078838174274,0.0942352690916826,0.1410788381742738,241,1.0,0.0143266475644699,1.0,0.12,0.6790245170582087,3.0,7
matched,FS_0042,FS,case,1,ERCC6,Q03468,ENST00000355832,fs,0,1.0,0.0,,,1.0,1.0,1.0,0.0,4482,477,21,47.1,48.64,0.5921463632307006,0.6142557651991615,0.0838911200356983,0.0754716981132075,0,0.0,0.0315186246418338,5.1622e-22,0.802,0.6205621890486333,4.0,7
matched,FS_0042,FS,control,0,COL5A2,P05997,ENST00000374866,fs_control,1,1.0,1.0,,,0.0,,1.0,0.0,4500,159,54,55.91,42.77,0.6515555555555556,0.660377358490566,0.076,0.0,159,1.0,0.0487106017191977,1.0,0.097,0.9133959123308824,4.0,6
matched,FS_0043,FS,case,1,COL2A1,P02458,ENST00000380518,fs,1,1.0,1.0,,,1.0,,1.0,0.0,4464,229,54,63.4,55.9,0.6373207885304659,0.4978165938864629,0.082437275985663,0.0349344978165938,229,1.0,0.0659025787965616,1.0,0.134,0.9563499210426892,5.0,6
