"gene","pLI","oe_lof_upper","category","pli_cat","loefu_cat"
"POU6F2",0.0015216,0.557,"SNV_Control","Low","Medium"
"PPP1R12A",1,0.13,"SNV_Control","High","Low"
"PRDM16",0.99999,0.187,"SNV_Control","High","Low"
"PRDX3",0.0042426,0.877,"SNV_Control","Low","High"
"PRKCG",0.99985,0.203,"SNV_Control","High","Medium"
"PRLR",0.98732,0.293,"SNV_Control","High","Medium"
"PRODH",5.3577e-12,1.1,"SNV_Control","Low","High"
"PROM1",1.9485e-22,1.051,"SNV_Control","Low","High"
"PRPF6",0.0032101,0.441,"SNV_Control","Low","Medium"
"PRPH",4.7898e-14,1.383,"SNV_Control","Low","High"
"PRSS1",4.1384e-11,1.863,"SNV_Control","Low","High"
"PSAP",0.99051,0.285,"SNV_Control","High","Medium"
"PSENEN",0.87614,0.439,"SNV_Control","High","Medium"
"RAD54L",2.3634e-15,0.97,"SNV_Control","Low","High"
"RBM20",0.98954,0.295,"SNV_Control","High","Medium"
"REEP2",0.43941,0.549,"SNV_Control","Medium","Medium"
"RHAG",0.010404,0.65,"SNV_Control","Low","High"
"RHOBTB2",0.013306,0.497,"SNV_Control","Low","Medium"
"RIT1",0.13281,0.645,"SNV_Control","Low","High"
"RNASEL",1.9513e-10,1.133,"SNV_Control","Low","High"
"RNF170",0.51091,0.52,"SNV_Control","Medium","Medium"
"RNF213",4.9078e-55,0.656,"SNV_Control","Low","High"
"ROBO4",2.942e-15,0.909,"SNV_Control","Low","High"
"RP9",0.018956,0.803,"SNV_Control","Low","High"
"RPS24",0.68141,0.591,"SNV_Control","High","Medium"
"RTN2",0.41643,0.417,"SNV_Control","Medium","Medium"
"RYR2",0.99999,0.25,"SNV_Control","High","Medium"
"SCAF4",1,0.106,"SNV_Control","High","Low"
"SCN1B",0.10186,1.265,"SNV_Control","Low","High"
"SCN3A",1,0.174,"SNV_Control","High","Low"
"SEC61A1",0.98675,0.295,"SNV_Control","High","Medium"
"SEMA3A",0.9779,0.307,"SNV_Control","High","Medium"
"SERPINA6",8.3448e-07,1.488,"SNV_Control","Low","High"
"SERPIND1",2.5137e-10,1.497,"SNV_Control","Low","High"
"SETX",0.95483,0.296,"SNV_Control","High","Medium"
"SF3B2",0.99992,0.222,"SNV_Control","High","Medium"
"SLC12A2",0.96153,0.31,"SNV_Control","High","Medium"
"SLC16A1",0.00073565,0.821,"SNV_Control","Low","High"
"SLC17A8",0.0013196,0.608,"SNV_Control","Low","High"
"SLC30A2",0.080883,0.615,"SNV_Control","Low","High"
"SLC39A14",0.15001,0.554,"SNV_Control","Low","Medium"
"SLC6A5",8.977e-15,0.967,"SNV_Control","Low","High"
"SMAD2",0.99661,0.259,"SNV_Control","High","Medium"
"SMARCA4",1,0.055,"SNV_Control","High","Low"
"SMARCE1",0.99915,0.191,"SNV_Control","High","Low"
"SPEN",1,0.071,"SNV_Control","High","Low"
"SPTAN1",1,0.101,"SNV_Control","High","Low"
"STAT3",1,0.095,"SNV_Control","High","Low"
"STEAP3",5.3195e-09,1.344,"SNV_Control","Low","High"
"SUPT16H",1,0.12,"SNV_Control","High","Low"
"SYNE2",1.6503e-25,0.372,"SNV_Control","Low","Medium"
"SYT2",0.98133,0.287,"SNV_Control","High","Medium"
"TBX3",0.98907,0.281,"SNV_Control","High","Medium"
"TCF3",0.025824,0.498,"SNV_Control","Low","Medium"
"TCF7L2",0.99537,0.273,"SNV_Control","High","Medium"
"TERT",0.99046,0.293,"SNV_Control","High","Medium"
"TFG",0.14061,0.511,"SNV_Control","Low","Medium"
"TGFB1",0.03685,0.614,"SNV_Control","Low","High"
"TGFBR1",0.85379,0.383,"SNV_Control","High","Medium"
"TGM6",1.1154e-24,1.367,"SNV_Control","Low","High"
"TIMELESS",9.8476e-35,0.977,"SNV_Control","Low","High"
"TINF2",0.0012666,0.671,"SNV_Control","Low","High"
"TNFRSF13B",2.0908e-15,1.958,"SNV_Control","Low","High"
"TNNI3K",3.0654e-48,1.427,"SNV_Control","Low","High"
"TNPO3",1.7546e-06,0.515,"SNV_Control","Low","Medium"
"TRAF3",0.99869,0.224,"SNV_Control","High","Medium"
"TRIO",1,0.139,"SNV_Control","High","Low"
"TRPV4",2.237e-16,1.057,"SNV_Control","Low","High"
"TSC1",1,0.118,"SNV_Control","High","Low"
"TSPAN12",0.69473,0.457,"SNV_Control","High","Medium"
"TTC21B",2.704e-26,0.852,"SNV_Control","Low","High"
"TUBA3D",7.2364e-10,1.565,"SNV_Control","Low","High"
"UBA2",0.99851,0.241,"SNV_Control","High","Medium"
"UBAP1",0.91168,0.379,"SNV_Control","High","Medium"
"UCP3",9.5517e-10,1.737,"SNV_Control","Low","High"
"VCAN",1,0.199,"SNV_Control","High","Low"
"VCL",0.046788,0.396,"SNV_Control","Low","Medium"
"VEGFC",0.49565,0.478,"SNV_Control","Medium","Medium"
"VPS16",2.2652e-15,0.818,"SNV_Control","Low","High"
"VWF",3.2187e-25,0.593,"SNV_Control","Low","Medium"
"WDFY3",1,0.071,"SNV_Control","High","Low"
"WDR11",1.3704e-08,0.532,"SNV_Control","Low","Medium"
"WDR26",1,0.085,"SNV_Control","High","Low"
"ZBTB7A",0.95915,0.329,"SNV_Control","High","Medium"
"ZFHX3",1,0.136,"SNV_Control","High","Low"
"ZMYM2",0.66648,0.332,"SNV_Control","High","Medium"
"ZNF462",1,0.085,"SNV_Control","High","Low"
